time_h,date,total_flow,weir_flow,stage_hw,stage_tw,breach_width,breach_bottom,breach_flow,breach_velocity
-0.0,01JAN2000 00:00:00,0.246,0.246,84.507,23.925,0.0,0.0,0.0,0.0
0.0833,01JAN2000 00:05:00,0.245,0.245,84.507,23.299,nan,nan,nan,nan
0.1667,01JAN2000 00:10:00,0.244,0.244,84.507,23.299,nan,nan,nan,nan
0.25,01JAN2000 00:15:00,0.245,0.245,84.507,23.299,nan,nan,nan,nan
0.3333,01JAN2000 00:20:00,0.243,0.243,84.507,23.299,nan,nan,nan,nan
0.4167,01JAN2000 00:25:00,0.241,0.241,84.507,23.298,nan,nan,nan,nan
0.5,01JAN2000 00:30:00,0.239,0.239,84.507,23.298,nan,nan,nan,nan
0.5833,01JAN2000 00:35:00,0.239,0.239,84.507,23.298,nan,nan,nan,nan
0.6667,01JAN2000 00:40:00,0.24,0.24,84.507,23.298,nan,nan,nan,nan
0.75,01JAN2000 00:45:00,0.241,0.241,84.507,23.298,nan,nan,nan,nan
0.8333,01JAN2000 00:50:00,0.242,0.242,84.507,23.298,nan,nan,nan,nan
0.9167,01JAN2000 00:55:00,0.243,0.243,84.507,23.299,nan,nan,nan,nan
1.0,01JAN2000 01:00:00,0.247,0.247,84.507,23.299,nan,nan,nan,nan
1.0833,01JAN2000 01:05:00,0.255,0.255,84.507,23.3,nan,nan,nan,nan
1.1667,01JAN2000 01:10:00,0.261,0.261,84.507,23.302,nan,nan,nan,nan
1.25,01JAN2000 01:15:00,0.271,0.271,84.507,23.303,nan,nan,nan,nan
1.3333,01JAN2000 01:20:00,0.28,0.28,84.507,23.305,nan,nan,nan,nan
1.4167,01JAN2000 01:25:00,0.289,0.289,84.508,23.306,nan,nan,nan,nan
1.5,01JAN2000 01:30:00,0.3,0.3,84.508,23.308,nan,nan,nan,nan
1.5833,01JAN2000 01:35:00,0.313,0.313,84.508,23.311,nan,nan,nan,nan
1.6667,01JAN2000 01:40:00,0.33,0.33,84.508,23.313,nan,nan,nan,nan
1.75,01JAN2000 01:45:00,0.345,0.345,84.508,23.315,nan,nan,nan,nan
1.8333,01JAN2000 01:50:00,0.36,0.36,84.509,23.318,nan,nan,nan,nan
1.9167,01JAN2000 01:55:00,0.377,0.377,84.509,23.32,nan,nan,nan,nan
2.0,01JAN2000 02:00:00,0.397,0.397,84.509,23.322,nan,nan,nan,nan
2.0833,01JAN2000 02:05:00,0.419,0.419,84.51,23.325,nan,nan,nan,nan
2.1667,01JAN2000 02:10:00,0.441,0.441,84.51,23.327,nan,nan,nan,nan
2.25,01JAN2000 02:15:00,0.463,0.463,84.51,23.33,nan,nan,nan,nan
2.3333,01JAN2000 02:20:00,0.484,0.484,84.511,23.332,nan,nan,nan,nan
2.4167,01JAN2000 02:25:00,0.511,0.511,84.511,23.334,nan,nan,nan,nan
2.5,01JAN2000 02:30:00,0.541,0.541,84.511,23.336,nan,nan,nan,nan
2.5833,01JAN2000 02:35:00,0.571,0.571,84.512,23.339,nan,nan,nan,nan
2.6667,01JAN2000 02:40:00,0.6,0.6,84.512,23.341,nan,nan,nan,nan
2.75,01JAN2000 02:45:00,0.631,0.631,84.513,23.343,nan,nan,nan,nan
2.8333,01JAN2000 02:50:00,0.662,0.662,84.513,23.344,nan,nan,nan,nan
2.9167,01JAN2000 02:55:00,0.697,0.697,84.514,23.346,nan,nan,nan,nan
3.0,01JAN2000 03:00:00,0.734,0.734,84.514,23.347,nan,nan,nan,nan
3.0833,01JAN2000 03:05:00,0.775,0.775,84.515,23.349,nan,nan,nan,nan
3.1667,01JAN2000 03:10:00,0.813,0.813,84.515,23.351,nan,nan,nan,nan
3.25,01JAN2000 03:15:00,0.857,0.857,84.516,23.353,nan,nan,nan,nan
3.3333,01JAN2000 03:20:00,0.904,0.904,84.516,23.355,nan,nan,nan,nan
3.4167,01JAN2000 03:25:00,0.958,0.958,84.517,23.357,nan,nan,nan,nan
3.5,01JAN2000 03:30:00,1.01,1.01,84.517,23.359,nan,nan,nan,nan
3.5833,01JAN2000 03:35:00,1.072,1.072,84.518,23.361,nan,nan,nan,nan
3.6667,01JAN2000 03:40:00,1.161,1.161,84.519,23.364,nan,nan,nan,nan
3.75,01JAN2000 03:45:00,1.315,1.315,84.521,23.369,nan,nan,nan,nan
3.8333,01JAN2000 03:50:00,1.501,1.501,84.523,23.375,nan,nan,nan,nan
3.9167,01JAN2000 03:55:00,1.687,1.687,84.524,23.38,nan,nan,nan,nan
4.0,01JAN2000 04:00:00,1.863,1.863,84.526,23.384,nan,nan,nan,nan
4.0833,01JAN2000 04:05:00,2.043,2.043,84.528,23.388,nan,nan,nan,nan
4.1667,01JAN2000 04:10:00,2.255,2.255,84.53,23.392,nan,nan,nan,nan
4.25,01JAN2000 04:15:00,2.484,2.484,84.532,23.397,nan,nan,nan,nan
4.3333,01JAN2000 04:20:00,2.722,2.722,84.534,23.401,nan,nan,nan,nan
4.4167,01JAN2000 04:25:00,2.961,2.961,84.536,23.404,nan,nan,nan,nan
4.5,01JAN2000 04:30:00,3.233,3.233,84.538,23.406,nan,nan,nan,nan
4.5833,01JAN2000 04:35:00,3.573,3.573,84.54,23.409,nan,nan,nan,nan
4.6667,01JAN2000 04:40:00,3.938,3.938,84.543,23.412,nan,nan,nan,nan
4.75,01JAN2000 04:45:00,4.307,4.307,84.546,23.415,nan,nan,nan,nan
4.8333,01JAN2000 04:50:00,4.649,4.649,84.548,23.417,nan,nan,nan,nan
4.9167,01JAN2000 04:55:00,5.055,5.055,84.551,23.421,nan,nan,nan,nan
5.0,01JAN2000 05:00:00,5.545,5.545,84.554,23.425,nan,nan,nan,nan
5.0833,01JAN2000 05:05:00,6.112,6.112,84.558,23.431,nan,nan,nan,nan
5.1667,01JAN2000 05:10:00,6.702,6.702,84.562,23.438,nan,nan,nan,nan
5.25,01JAN2000 05:15:00,7.276,7.276,84.565,23.444,nan,nan,nan,nan
5.3333,01JAN2000 05:20:00,7.874,7.874,84.569,23.452,nan,nan,nan,nan
5.4167,01JAN2000 05:25:00,8.546,8.546,84.572,23.46,nan,nan,nan,nan
5.5,01JAN2000 05:30:00,9.332,9.332,84.577,23.475,nan,nan,nan,nan
5.5833,01JAN2000 05:35:00,10.191,10.191,84.581,23.491,nan,nan,nan,nan
5.6667,01JAN2000 05:40:00,11.085,11.085,84.586,23.506,nan,nan,nan,nan
5.75,01JAN2000 05:45:00,11.942,11.942,84.59,23.518,nan,nan,nan,nan
5.8333,01JAN2000 05:50:00,12.854,12.854,84.595,23.53,nan,nan,nan,nan
5.9167,01JAN2000 05:55:00,13.851,13.851,84.6,23.542,nan,nan,nan,nan
6.0,01JAN2000 06:00:00,14.958,14.958,84.605,23.555,nan,nan,nan,nan
6.0833,01JAN2000 06:05:00,16.123,16.123,84.61,23.567,nan,nan,nan,nan
6.1667,01JAN2000 06:10:00,17.296,17.296,84.616,23.579,nan,nan,nan,nan
6.25,01JAN2000 06:15:00,18.451,18.451,84.621,23.59,nan,nan,nan,nan
6.3333,01JAN2000 06:20:00,19.642,19.642,84.626,23.601,nan,nan,nan,nan
6.4167,01JAN2000 06:25:00,20.909,20.909,84.631,23.612,nan,nan,nan,nan
6.5,01JAN2000 06:30:00,22.253,22.253,84.637,23.623,nan,nan,nan,nan
6.5833,01JAN2000 06:35:00,23.729,23.729,84.643,23.636,nan,nan,nan,nan
6.6667,01JAN2000 06:40:00,25.286,25.286,84.649,23.648,nan,nan,nan,nan
6.75,01JAN2000 06:45:00,26.93,26.93,84.656,23.662,nan,nan,nan,nan
6.8333,01JAN2000 06:50:00,28.62,28.62,84.662,23.675,nan,nan,nan,nan
6.9167,01JAN2000 06:55:00,30.327,30.327,84.668,23.688,nan,nan,nan,nan
7.0,01JAN2000 07:00:00,32.116,32.116,84.675,23.701,nan,nan,nan,nan
7.0833,01JAN2000 07:05:00,34.031,34.031,84.682,23.716,nan,nan,nan,nan
7.1667,01JAN2000 07:10:00,36.107,36.107,84.689,23.732,nan,nan,nan,nan
7.25,01JAN2000 07:15:00,38.313,38.313,84.697,23.748,nan,nan,nan,nan
7.3333,01JAN2000 07:20:00,40.52,40.52,84.704,23.764,nan,nan,nan,nan
7.4167,01JAN2000 07:25:00,42.876,42.876,84.712,23.781,nan,nan,nan,nan
7.5,01JAN2000 07:30:00,45.345,45.345,84.72,23.798,nan,nan,nan,nan
7.5833,01JAN2000 07:35:00,47.948,47.948,84.728,23.815,nan,nan,nan,nan
7.6667,01JAN2000 07:40:00,50.718,50.718,84.737,23.833,nan,nan,nan,nan
7.75,01JAN2000 07:45:00,53.653,53.653,84.746,23.851,nan,nan,nan,nan
7.8333,01JAN2000 07:50:00,56.709,56.709,84.756,23.87,nan,nan,nan,nan
7.9167,01JAN2000 07:55:00,59.712,59.712,84.764,23.888,nan,nan,nan,nan
8.0,01JAN2000 08:00:00,62.9,62.9,84.774,23.906,nan,nan,nan,nan
8.0833,01JAN2000 08:05:00,66.241,66.241,84.783,23.922,nan,nan,nan,nan
8.1667,01JAN2000 08:10:00,69.996,69.996,84.794,23.937,nan,nan,nan,nan
8.25,01JAN2000 08:15:00,74.02,74.02,84.805,23.951,nan,nan,nan,nan
8.3333,01JAN2000 08:20:00,78.132,78.132,84.816,23.968,nan,nan,nan,nan
8.4167,01JAN2000 08:25:00,82.054,82.054,84.827,23.984,nan,nan,nan,nan
8.5,01JAN2000 08:30:00,86.051,86.051,84.837,24.001,nan,nan,nan,nan
8.5833,01JAN2000 08:35:00,90.54,90.54,84.849,24.02,nan,nan,nan,nan
8.6667,01JAN2000 08:40:00,95.311,95.311,84.861,24.04,nan,nan,nan,nan
8.75,01JAN2000 08:45:00,100.464,100.464,84.874,24.061,nan,nan,nan,nan
8.8333,01JAN2000 08:50:00,105.844,105.844,84.887,24.083,nan,nan,nan,nan
8.9167,01JAN2000 08:55:00,111.481,111.481,84.901,24.106,nan,nan,nan,nan
9.0,01JAN2000 09:00:00,117.673,117.673,84.916,24.13,nan,nan,nan,nan
9.0833,01JAN2000 09:05:00,124.796,124.796,84.932,24.158,nan,nan,nan,nan
9.1667,01JAN2000 09:10:00,133.3,133.3,84.952,24.19,nan,nan,nan,nan
9.25,01JAN2000 09:15:00,143.556,143.556,84.975,24.227,nan,nan,nan,nan
9.3333,01JAN2000 09:20:00,155.369,155.369,85.0,24.27,nan,nan,nan,nan
9.4167,01JAN2000 09:25:00,168.977,168.977,85.029,24.311,nan,nan,nan,nan
9.5,01JAN2000 09:30:00,183.547,183.547,85.059,24.35,nan,nan,nan,nan
9.5833,01JAN2000 09:35:00,199.222,199.222,85.09,24.393,nan,nan,nan,nan
9.6667,01JAN2000 09:40:00,215.949,215.949,85.123,24.44,nan,nan,nan,nan
9.75,01JAN2000 09:45:00,233.367,233.367,85.156,24.489,nan,nan,nan,nan
9.8333,01JAN2000 09:50:00,251.885,251.885,85.19,24.54,nan,nan,nan,nan
9.9167,01JAN2000 09:55:00,271.704,271.704,85.226,24.592,nan,nan,nan,nan
10.0,01JAN2000 10:00:00,293.084,293.084,85.263,24.649,nan,nan,nan,nan
10.0833,01JAN2000 10:05:00,315.348,315.348,85.302,24.705,nan,nan,nan,nan
10.1667,01JAN2000 10:10:00,338.714,338.714,85.341,24.765,nan,nan,nan,nan
10.25,01JAN2000 10:15:00,363.752,363.752,85.382,24.821,nan,nan,nan,nan
10.3333,01JAN2000 10:20:00,390.485,390.485,85.424,24.882,nan,nan,nan,nan
10.4167,01JAN2000 10:25:00,418.981,418.981,85.469,24.946,nan,nan,nan,nan
10.5,01JAN2000 10:30:00,449.199,449.199,85.515,25.018,nan,nan,nan,nan
10.5833,01JAN2000 10:35:00,481.957,481.957,85.564,25.095,nan,nan,nan,nan
10.6667,01JAN2000 10:40:00,516.472,516.472,85.614,25.173,nan,nan,nan,nan
10.75,01JAN2000 10:45:00,552.716,552.716,85.665,25.241,nan,nan,nan,nan
10.8333,01JAN2000 10:50:00,590.253,590.253,85.717,25.308,nan,nan,nan,nan
10.9167,01JAN2000 10:55:00,629.583,629.583,85.771,25.383,nan,nan,nan,nan
11.0,01JAN2000 11:00:00,670.27,670.27,85.825,25.461,nan,nan,nan,nan
11.0833,01JAN2000 11:05:00,713.384,713.384,85.881,25.497,nan,nan,nan,nan
11.1667,01JAN2000 11:10:00,757.772,757.772,85.938,25.635,nan,nan,nan,nan
11.25,01JAN2000 11:15:00,803.268,803.268,85.995,25.686,nan,nan,nan,nan
11.3333,01JAN2000 11:20:00,849.347,849.347,86.052,25.723,nan,nan,nan,nan
11.4167,01JAN2000 11:25:00,897.996,897.996,86.11,25.783,nan,nan,nan,nan
11.5,01JAN2000 11:30:00,948.863,948.863,86.171,25.887,nan,nan,nan,nan
11.5833,01JAN2000 11:35:00,1003.915,1003.915,86.234,25.99,nan,nan,nan,nan
11.6667,01JAN2000 11:40:00,1061.21,1061.21,86.3,26.089,nan,nan,nan,nan
11.75,01JAN2000 11:45:00,1124.674,1124.674,86.371,26.139,nan,nan,nan,nan
11.8333,01JAN2000 11:50:00,1190.645,1190.645,86.444,26.214,nan,nan,nan,nan
11.9167,01JAN2000 11:55:00,1292.828,1292.828,86.553,26.307,nan,nan,nan,nan
12.0,01JAN2000 12:00:00,1407.62,1407.619,86.673,26.406,nan,nan,nan,nan
12.0833,01JAN2000 12:05:00,1505.016,1505.016,86.772,26.644,nan,nan,nan,nan
12.1667,01JAN2000 12:10:00,1621.721,1621.721,86.888,26.798,nan,nan,nan,nan
12.25,01JAN2000 12:15:00,1733.608,1733.608,86.996,26.946,nan,nan,nan,nan
12.3333,01JAN2000 12:20:00,1828.557,1828.557,87.086,27.07,nan,nan,nan,nan
12.4167,01JAN2000 12:25:00,1900.767,1900.767,87.153,27.165,nan,nan,nan,nan
12.5,01JAN2000 12:30:00,1971.917,1971.917,87.22,27.256,nan,nan,nan,nan
12.5833,01JAN2000 12:35:00,2061.362,2061.362,87.301,27.34,nan,nan,nan,nan
12.6667,01JAN2000 12:40:00,2173.656,2173.656,87.402,27.432,nan,nan,nan,nan
12.75,01JAN2000 12:45:00,2287.973,2287.973,87.502,27.519,nan,nan,nan,nan
12.8333,01JAN2000 12:50:00,2390.162,2390.162,87.591,27.6,nan,nan,nan,nan
12.9167,01JAN2000 12:55:00,2482.141,2482.141,87.67,27.675,nan,nan,nan,nan
13.0,01JAN2000 13:00:00,2573.571,2573.571,87.747,27.75,nan,nan,nan,nan
13.0833,01JAN2000 13:05:00,2668.002,2668.002,87.826,27.827,nan,nan,nan,nan
13.1667,01JAN2000 13:10:00,2773.235,2773.236,87.912,27.913,nan,nan,nan,nan
13.25,01JAN2000 13:15:00,2881.893,2881.892,88.001,27.996,nan,nan,nan,nan
13.3333,01JAN2000 13:20:00,3000.853,3000.853,88.096,28.084,nan,nan,nan,nan
13.4167,01JAN2000 13:25:00,3132.345,3132.345,88.2,28.18,nan,nan,nan,nan
13.5,01JAN2000 13:30:00,3283.546,3283.546,88.319,28.279,nan,nan,nan,nan
13.5833,01JAN2000 13:35:00,3460.509,3460.509,88.454,28.305,nan,nan,nan,nan
13.6667,01JAN2000 13:40:00,3667.469,3667.469,88.61,28.593,nan,nan,nan,nan
