time_h,date,total_flow,weir_flow,stage_hw,stage_tw,breach_width,breach_bottom,breach_flow,breach_velocity
-0.0,01JAN2000 00:00:00,0.246,0.246,84.507,23.925,0.0,0.0,0.0,0.0
0.0833,01JAN2000 00:05:00,0.245,0.245,84.507,23.299,nan,nan,nan,nan
0.1667,01JAN2000 00:10:00,0.244,0.244,84.507,23.299,nan,nan,nan,nan
0.25,01JAN2000 00:15:00,0.245,0.245,84.507,23.299,nan,nan,nan,nan
0.3333,01JAN2000 00:20:00,0.243,0.243,84.507,23.299,nan,nan,nan,nan
0.4167,01JAN2000 00:25:00,0.241,0.241,84.507,23.298,nan,nan,nan,nan
0.5,01JAN2000 00:30:00,0.239,0.239,84.507,23.298,nan,nan,nan,nan
0.5833,01JAN2000 00:35:00,0.238,0.238,84.507,23.298,nan,nan,nan,nan
0.6667,01JAN2000 00:40:00,0.239,0.239,84.507,23.298,nan,nan,nan,nan
0.75,01JAN2000 00:45:00,0.238,0.238,84.507,23.298,nan,nan,nan,nan
0.8333,01JAN2000 00:50:00,0.237,0.237,84.507,23.298,nan,nan,nan,nan
0.9167,01JAN2000 00:55:00,0.235,0.235,84.507,23.297,nan,nan,nan,nan
1.0,01JAN2000 01:00:00,0.233,0.233,84.507,23.297,nan,nan,nan,nan
1.0833,01JAN2000 01:05:00,0.233,0.233,84.507,23.297,nan,nan,nan,nan
1.1667,01JAN2000 01:10:00,0.233,0.233,84.507,23.297,nan,nan,nan,nan
1.25,01JAN2000 01:15:00,0.232,0.232,84.507,23.297,nan,nan,nan,nan
1.3333,01JAN2000 01:20:00,0.23,0.23,84.507,23.296,nan,nan,nan,nan
1.4167,01JAN2000 01:25:00,0.229,0.229,84.506,23.296,nan,nan,nan,nan
1.5,01JAN2000 01:30:00,0.227,0.227,84.506,23.296,nan,nan,nan,nan
1.5833,01JAN2000 01:35:00,0.228,0.228,84.506,23.296,nan,nan,nan,nan
1.6667,01JAN2000 01:40:00,0.228,0.228,84.506,23.296,nan,nan,nan,nan
1.75,01JAN2000 01:45:00,0.226,0.226,84.506,23.295,nan,nan,nan,nan
1.8333,01JAN2000 01:50:00,0.224,0.224,84.506,23.295,nan,nan,nan,nan
1.9167,01JAN2000 01:55:00,0.223,0.223,84.506,23.295,nan,nan,nan,nan
2.0,01JAN2000 02:00:00,0.223,0.223,84.506,23.295,nan,nan,nan,nan
2.0833,01JAN2000 02:05:00,44390.578,44390.578,75.755,67.729,70.834,23.0,44390.582,11.88
2.1667,01JAN2000 02:10:00,45311.73,45311.734,71.029,65.268,85.0,23.0,45311.734,11.124
2.25,01JAN2000 02:15:00,40271.82,40271.82,67.358,61.998,85.0,23.0,40271.824,10.704
2.3333,01JAN2000 02:20:00,35770.664,35770.668,64.015,59.12,85.0,23.0,35770.668,10.29
2.4167,01JAN2000 02:25:00,31415.195,31415.195,60.649,56.225,85.0,23.0,31415.195,9.843
2.5,01JAN2000 02:30:00,27190.68,27190.68,57.244,53.306,85.0,23.0,27190.678,9.361
2.5833,01JAN2000 02:35:00,23224.816,23224.814,53.899,50.399,85.0,23.0,23224.816,8.861
2.6667,01JAN2000 02:40:00,19595.713,19595.713,50.672,47.631,85.0,23.0,19595.713,8.347
2.75,01JAN2000 02:45:00,16317.397,16317.397,47.572,44.967,85.0,23.0,16317.396,7.829
2.8333,01JAN2000 02:50:00,13432.957,13432.958,44.648,42.427,85.0,23.0,13432.958,7.316
2.9167,01JAN2000 02:55:00,10908.812,10908.811,41.925,40.076,85.0,23.0,10908.811,6.8
3.0,01JAN2000 03:00:00,8712.979,8712.977,39.372,37.826,85.0,23.0,8712.979,6.275
3.0833,01JAN2000 03:05:00,6848.911,6848.911,37.01,35.755,85.0,23.0,6848.911,5.764
3.1667,01JAN2000 03:10:00,5234.38,5234.38,34.81,33.817,85.0,23.0,5234.38,5.227
3.25,01JAN2000 03:15:00,3876.079,3876.079,32.771,31.996,85.0,23.0,3876.079,4.679
3.3333,01JAN2000 03:20:00,2765.196,2765.195,30.918,30.351,85.0,23.0,2765.195,4.119
3.4167,01JAN2000 03:25:00,1878.661,1878.661,29.246,28.822,85.0,23.0,1878.661,3.548
3.5,01JAN2000 03:30:00,1214.742,1214.742,27.828,27.612,85.0,23.0,1214.742,2.976
3.5833,01JAN2000 03:35:00,767.39,767.39,26.71,26.582,85.0,23.0,767.39,2.446
3.6667,01JAN2000 03:40:00,502.356,502.356,25.864,25.754,85.0,23.0,502.356,2.063
3.75,01JAN2000 03:45:00,346.9,346.9,25.273,25.168,85.0,23.0,346.9,1.779
3.8333,01JAN2000 03:50:00,255.166,255.166,24.904,24.82,85.0,23.0,255.166,1.562
3.9167,01JAN2000 03:55:00,190.265,190.265,24.66,24.593,85.0,23.0,190.265,1.332
4.0,01JAN2000 04:00:00,154.813,154.813,24.487,24.437,85.0,23.0,154.813,1.209
4.0833,01JAN2000 04:05:00,128.928,128.928,24.337,24.292,85.0,23.0,128.928,1.118
4.1667,01JAN2000 04:10:00,111.905,111.905,24.204,24.165,85.0,23.0,111.905,1.074
4.25,01JAN2000 04:15:00,91.314,91.314,24.089,24.055,85.0,23.0,91.314,0.969
4.3333,01JAN2000 04:20:00,79.201,79.201,23.989,23.959,85.0,23.0,79.201,0.923
4.4167,01JAN2000 04:25:00,66.068,66.068,23.904,23.878,85.0,23.0,66.068,0.84
4.5,01JAN2000 04:30:00,57.178,57.178,23.828,23.805,85.0,23.0,57.178,0.792
4.5833,01JAN2000 04:35:00,49.745,49.745,23.76,23.74,85.0,23.0,49.745,0.748
4.6667,01JAN2000 04:40:00,43.404,43.404,23.699,23.68,85.0,23.0,43.404,0.708
4.75,01JAN2000 04:45:00,38.154,38.154,23.645,23.629,85.0,23.0,38.154,0.671
4.8333,01JAN2000 04:50:00,33.61,33.61,23.595,23.582,85.0,23.0,33.61,0.635
4.9167,01JAN2000 04:55:00,29.432,29.432,23.55,23.539,85.0,23.0,29.432,0.594
5.0,01JAN2000 05:00:00,26.168,26.168,23.511,23.499,85.0,23.0,26.168,0.561
5.0833,01JAN2000 05:05:00,23.343,23.343,23.474,23.464,85.0,23.0,23.343,0.53
5.1667,01JAN2000 05:10:00,20.922,20.922,23.441,23.432,85.0,23.0,20.922,0.501
5.25,01JAN2000 05:15:00,18.775,18.775,23.412,23.403,85.0,23.0,18.775,0.472
5.3333,01JAN2000 05:20:00,16.905,16.905,23.385,23.377,85.0,23.0,16.905,0.445
5.4167,01JAN2000 05:25:00,15.302,15.302,23.361,23.354,85.0,23.0,15.302,0.42
5.5,01JAN2000 05:30:00,13.768,13.768,23.341,23.334,85.0,23.0,13.768,0.392
5.5833,01JAN2000 05:35:00,12.815,12.815,23.32,23.319,85.0,23.0,12.815,0.377
5.6667,01JAN2000 05:40:00,11.547,11.547,23.306,23.301,85.0,23.0,11.547,0.351
5.75,01JAN2000 05:45:00,10.761,10.761,23.291,23.292,85.0,23.0,10.761,0.336
5.8333,01JAN2000 05:50:00,9.88,9.88,23.278,23.279,85.0,23.0,9.88,0.316
5.9167,01JAN2000 05:55:00,9.24,9.24,23.266,23.268,85.0,23.0,9.24,0.302
6.0,01JAN2000 06:00:00,8.611,8.611,23.255,23.26,85.0,23.0,8.611,0.287
6.0833,01JAN2000 06:05:00,8.106,8.106,23.246,23.248,85.0,23.0,8.106,0.276
6.1667,01JAN2000 06:10:00,7.527,7.527,23.237,23.241,85.0,23.0,7.527,0.261
6.25,01JAN2000 06:15:00,7.028,7.028,23.228,23.234,85.0,23.0,7.028,0.248
6.3333,01JAN2000 06:20:00,6.619,6.619,23.219,23.227,85.0,23.0,6.619,0.237
6.4167,01JAN2000 06:25:00,6.241,6.241,23.212,23.22,85.0,23.0,6.241,0.227
6.5,01JAN2000 06:30:00,5.89,5.89,23.204,23.214,85.0,23.0,5.89,0.217
6.5833,01JAN2000 06:35:00,5.563,5.563,23.197,23.208,85.0,23.0,5.563,0.208
6.6667,01JAN2000 06:40:00,5.271,5.271,23.19,23.201,85.0,23.0,5.271,0.2
6.75,01JAN2000 06:45:00,5.005,5.005,23.184,23.195,85.0,23.0,5.005,0.192
6.8333,01JAN2000 06:50:00,4.761,4.761,23.178,23.189,85.0,23.0,4.761,0.185
6.9167,01JAN2000 06:55:00,4.534,4.534,23.172,23.183,85.0,23.0,4.534,0.178
7.0,01JAN2000 07:00:00,4.322,4.322,23.167,23.177,85.0,23.0,4.322,0.172
7.0833,01JAN2000 07:05:00,4.123,4.123,23.162,23.172,85.0,23.0,4.123,0.166
7.1667,01JAN2000 07:10:00,3.969,3.969,23.157,23.165,85.0,23.0,3.969,0.161
7.25,01JAN2000 07:15:00,3.709,3.709,23.152,23.163,85.0,23.0,3.709,0.152
7.3333,01JAN2000 07:20:00,3.642,3.642,23.148,23.154,85.0,23.0,3.642,0.151
7.4167,01JAN2000 07:25:00,3.383,3.383,23.143,23.153,85.0,23.0,3.383,0.142
7.5,01JAN2000 07:30:00,3.019,3.019,23.143,23.134,85.0,23.0,3.019,0.127
7.5833,01JAN2000 07:35:00,3.1,3.1,23.134,23.143,85.0,23.0,3.1,0.132
7.6667,01JAN2000 07:40:00,2.973,2.973,23.131,23.141,85.0,23.0,2.973,0.128
7.75,01JAN2000 07:45:00,2.891,2.891,23.128,23.135,85.0,23.0,2.891,0.125
7.8333,01JAN2000 07:50:00,2.809,2.809,23.124,23.161,85.0,23.0,2.809,0.122
7.9167,01JAN2000 07:55:00,2.488,2.488,23.126,23.106,85.0,23.0,2.488,0.109
8.0,01JAN2000 08:00:00,2.807,2.807,23.116,23.139,85.0,23.0,2.807,0.124
8.0833,01JAN2000 08:05:00,2.572,2.572,23.113,23.146,85.0,23.0,2.572,0.114
8.1667,01JAN2000 08:10:00,2.181,2.181,23.121,23.107,85.0,23.0,2.181,0.097
8.25,01JAN2000 08:15:00,2.426,2.426,23.11,23.097,85.0,23.0,2.426,0.109
8.3333,01JAN2000 08:20:00,2.987,2.987,23.146,23.156,85.0,23.0,2.987,0.131
8.4167,01JAN2000 08:25:00,2.301,2.301,23.093,23.095,85.0,23.0,2.301,0.104
8.5,01JAN2000 08:30:00,2.059,2.059,23.108,23.07,85.0,23.0,2.059,0.094
8.5833,01JAN2000 08:35:00,2.102,2.102,23.11,23.069,85.0,23.0,2.102,0.096
8.6667,01JAN2000 08:40:00,2.228,2.228,23.087,23.094,85.0,23.0,2.228,0.102
8.75,01JAN2000 08:45:00,1.24,1.24,23.137,23.0,85.0,23.0,1.24,0.067
8.8333,01JAN2000 08:50:00,2.167,2.167,23.099,23.128,85.0,23.0,2.167,0.099
8.9167,01JAN2000 08:55:00,1.902,1.902,23.098,23.0,85.0,23.0,1.902,0.089
9.0,01JAN2000 09:00:00,1.955,1.955,23.099,23.094,85.0,23.0,1.955,0.091
9.0833,01JAN2000 09:05:00,1.798,1.798,23.075,23.116,85.0,23.0,1.798,0.085
9.1667,01JAN2000 09:10:00,1.132,1.132,23.114,23.0,85.0,23.0,1.132,0.057
9.25,01JAN2000 09:15:00,1.942,1.942,23.088,23.0,85.0,23.0,1.942,0.091
9.3333,01JAN2000 09:20:00,1.767,1.767,23.092,23.081,85.0,23.0,1.767,0.084
9.4167,01JAN2000 09:25:00,1.514,1.514,23.073,23.0,85.0,23.0,1.514,0.072
9.5,01JAN2000 09:30:00,1.686,1.686,23.087,23.116,85.0,23.0,1.686,0.08
9.5833,01JAN2000 09:35:00,2.014,2.014,23.074,23.139,85.0,23.0,2.014,0.096
9.6667,01JAN2000 09:40:00,1.584,1.584,23.085,23.119,85.0,23.0,1.584,0.076
9.75,01JAN2000 09:45:00,3.852,3.852,23.161,23.19,85.0,23.0,3.852,0.169
9.8333,01JAN2000 09:50:00,1.528,1.528,23.083,23.117,85.0,23.0,1.528,0.073
9.9167,01JAN2000 09:55:00,1.462,1.462,23.081,23.114,85.0,23.0,1.462,0.071
10.0,01JAN2000 10:00:00,1.403,1.403,23.079,23.11,85.0,23.0,1.403,0.068
10.0833,01JAN2000 10:05:00,1.357,1.357,23.075,23.105,85.0,23.0,1.357,0.066
10.1667,01JAN2000 10:10:00,1.329,1.329,23.068,23.095,85.0,23.0,1.329,0.065
10.25,01JAN2000 10:15:00,1.271,1.271,23.074,23.105,85.0,23.0,1.271,0.063
10.3333,01JAN2000 10:20:00,1.23,1.23,23.072,23.103,85.0,23.0,1.23,0.061
10.4167,01JAN2000 10:25:00,1.192,1.192,23.071,23.102,85.0,23.0,1.192,0.059
10.5,01JAN2000 10:30:00,1.157,1.157,23.07,23.101,85.0,23.0,1.157,0.058
10.5833,01JAN2000 10:35:00,1.125,1.125,23.069,23.1,85.0,23.0,1.125,0.056
10.6667,01JAN2000 10:40:00,1.106,1.106,23.067,23.093,85.0,23.0,1.106,0.055
10.75,01JAN2000 10:45:00,1.078,1.078,23.066,23.091,85.0,23.0,1.078,0.054
10.8333,01JAN2000 10:50:00,1.052,1.052,23.065,23.089,85.0,23.0,1.052,0.053
10.9167,01JAN2000 10:55:00,1.023,1.023,23.064,23.087,85.0,23.0,1.023,0.052
11.0,01JAN2000 11:00:00,0.342,0.342,23.078,23.0,85.0,23.0,0.342,0.024
11.0833,01JAN2000 11:05:00,0.987,0.987,23.061,23.0,85.0,23.0,0.987,0.054
11.1667,01JAN2000 11:10:00,1.096,1.096,23.043,23.0,85.0,23.0,1.096,0.062
11.25,01JAN2000 11:15:00,0.967,0.967,23.055,23.0,85.0,23.0,0.967,0.051
11.3333,01JAN2000 11:20:00,0.796,0.796,23.068,23.0,85.0,23.0,0.796,0.043
11.4167,01JAN2000 11:25:00,1.237,1.237,23.05,23.0,85.0,23.0,1.237,0.068
11.5,01JAN2000 11:30:00,2.624,2.624,22.995,23.0,85.0,23.0,2.624,0.12
11.5833,01JAN2000 11:35:00,0.771,0.771,23.045,23.0,85.0,23.0,0.771,0.05
11.6667,01JAN2000 11:40:00,1.12,1.12,23.058,23.0,85.0,23.0,1.12,0.077
11.75,01JAN2000 11:45:00,0.842,0.842,23.052,23.0,85.0,23.0,0.842,0.057
11.8333,01JAN2000 11:50:00,0.886,0.886,23.044,23.0,85.0,23.0,0.886,0.064
11.9167,01JAN2000 11:55:00,0.832,0.832,23.05,23.0,85.0,23.0,0.832,0.058
12.0,01JAN2000 12:00:00,0.805,0.805,23.049,23.0,85.0,23.0,0.805,0.057
12.0833,01JAN2000 12:05:00,0.78,0.78,23.048,23.0,85.0,23.0,0.78,0.055
12.1667,01JAN2000 12:10:00,0.783,0.783,23.046,23.0,85.0,23.0,0.783,0.056
12.25,01JAN2000 12:15:00,0.764,0.764,23.046,23.0,85.0,23.0,0.764,0.055
12.3333,01JAN2000 12:20:00,0.715,0.715,23.046,23.0,85.0,23.0,0.715,0.051
12.4167,01JAN2000 12:25:00,0.696,0.696,23.045,23.0,85.0,23.0,0.696,0.05
12.5,01JAN2000 12:30:00,0.679,0.679,23.044,23.0,85.0,23.0,0.679,0.049
12.5833,01JAN2000 12:35:00,0.025,0.025,23.066,23.0,85.0,23.0,0.025,0.008
12.6667,01JAN2000 12:40:00,0.658,0.658,23.045,23.0,85.0,23.0,0.658,0.047
12.75,01JAN2000 12:45:00,0.689,0.689,23.044,23.0,85.0,23.0,0.689,0.05
