time_h,date,stage,flow
-0.0,01JAN2000 00:00:00,1.356,0.0
0.0833,01JAN2000 00:05:00,1.356,0.0
0.1667,01JAN2000 00:10:00,1.356,0.0
0.25,01JAN2000 00:15:00,1.356,0.0
0.3333,01JAN2000 00:20:00,1.356,0.0
0.4167,01JAN2000 00:25:00,1.356,0.0
0.5,01JAN2000 00:30:00,1.356,0.0
0.5833,01JAN2000 00:35:00,1.356,0.0
0.6667,01JAN2000 00:40:00,1.356,0.0
0.75,01JAN2000 00:45:00,1.356,0.0
0.8333,01JAN2000 00:50:00,1.356,0.0
0.9167,01JAN2000 00:55:00,1.356,0.0
1.0,01JAN2000 01:00:00,1.356,0.0
1.0833,01JAN2000 01:05:00,1.356,0.0
1.1667,01JAN2000 01:10:00,1.356,0.0
1.25,01JAN2000 01:15:00,1.356,0.0
1.3333,01JAN2000 01:20:00,1.356,0.0
1.4167,01JAN2000 01:25:00,1.356,0.0
1.5,01JAN2000 01:30:00,1.356,0.0
1.5833,01JAN2000 01:35:00,1.356,0.0
1.6667,01JAN2000 01:40:00,1.356,0.0
1.75,01JAN2000 01:45:00,1.356,0.0
1.8333,01JAN2000 01:50:00,1.356,0.0
1.9167,01JAN2000 01:55:00,1.356,0.0
2.0,01JAN2000 02:00:00,1.356,0.0
2.0833,01JAN2000 02:05:00,1.356,0.0
2.1667,01JAN2000 02:10:00,1.356,0.0
2.25,01JAN2000 02:15:00,1.356,0.0
2.3333,01JAN2000 02:20:00,1.356,9662.606
2.4167,01JAN2000 02:25:00,1.356,17571.945
2.5,01JAN2000 02:30:00,2.309,20046.117
2.5833,01JAN2000 02:35:00,2.425,20853.172
2.6667,01JAN2000 02:40:00,2.425,20379.062
2.75,01JAN2000 02:45:00,2.432,19168.932
2.8333,01JAN2000 02:50:00,2.5,17609.133
2.9167,01JAN2000 02:55:00,2.508,16119.769
3.0,01JAN2000 03:00:00,2.535,14662.772
3.0833,01JAN2000 03:05:00,2.546,13293.017
3.1667,01JAN2000 03:10:00,2.548,12070.863
3.25,01JAN2000 03:15:00,2.546,11020.488
3.3333,01JAN2000 03:20:00,2.545,10119.643
3.4167,01JAN2000 03:25:00,2.545,9263.481
3.5,01JAN2000 03:30:00,2.545,8431.475
3.5833,01JAN2000 03:35:00,2.492,7645.813
3.6667,01JAN2000 03:40:00,2.368,6927.239
3.75,01JAN2000 03:45:00,2.264,6279.154
3.8333,01JAN2000 03:50:00,2.161,5689.239
3.9167,01JAN2000 03:55:00,2.084,5152.317
4.0,01JAN2000 04:00:00,2.034,4666.873
4.0833,01JAN2000 04:05:00,2.011,4223.937
4.1667,01JAN2000 04:10:00,2.003,3827.739
4.25,01JAN2000 04:15:00,1.998,3475.908
4.3333,01JAN2000 04:20:00,1.996,3162.668
4.4167,01JAN2000 04:25:00,1.994,2884.198
4.5,01JAN2000 04:30:00,1.992,2637.504
4.5833,01JAN2000 04:35:00,1.991,2420.252
4.6667,01JAN2000 04:40:00,1.99,2228.352
4.75,01JAN2000 04:45:00,1.99,2058.294
4.8333,01JAN2000 04:50:00,1.99,1906.8
