time (hr),2yr,5yr,10yr,25yr,50yr,100yr,200yr,500yr,1000yr,2000yr,5000yr,10000yr,PMP
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09439221110911508
0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6964855577085256
0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5419137177348894
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.567024370422778
0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.360132892912434
0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.788505454402046
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.224949485648345
0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13354878582894e-05,46.821439305331054
0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011099790414415072,0.011783021463315087,59.74442266931983
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018631274578322962,0.06763713338087232,72.23027637626674
1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08900423255978598,0.2275773083893109,83.8713750872689
1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022393951368385656,0.27123117755636794,0.5635096479459704,94.51801593698286
1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008140622952584456,0.6229401742669526,1.1190920228774326,104.17510153055254
1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04205930201073723,1.1691616072706335,1.8954151415838785,112.85044101701271
1.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13485107936282378,1.90185099280277,2.860114620475277,120.56105919230781
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32383593878973427,2.7923356613916868,3.970284753003911,127.3929371824134
1.5833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6358970864305251,3.819253232715363,5.195814704136366,133.50261912764296
1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022286926889805166,1.0792168664187225,4.951265775577795,6.509488905361552,138.9951314196364
1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005573658440771373,1.640194188964487,6.149289515445416,7.875793301919004,143.88477100854072
1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027615461441958353,2.292410426505465,7.375650591504496,9.258024303372014,148.1977014419035
1.9166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08475522271746486,3.000965152523592,8.596736581365736,10.620434081187897,151.9811394863251
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.478437024598595e-05,0.19635680922022217,3.741302176973477,9.794718953295,11.945150019183174,155.2959923887728
2.0833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003344967635250602,0.37286254250689826,4.504462835912248,10.974343513506625,13.240462390752807,158.22872689455022
2.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017277307207164427,0.6146808658102806,5.284002831356947,12.141712598705737,14.516074754579487,160.85415086116785
2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05479994644256117,0.9164030087626225,6.072046410262926,13.293332499528912,15.769503507474026,163.1954221982493
2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13034903698183997,1.2683055221903592,6.867057010067149,14.43564878065634,17.00953073277018,165.28901474391907
2.4166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25341326839612904,1.6580542831008487,7.674660665857502,15.585447620364848,18.25634993204148,167.20945349415547
2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42627653699714935,2.07576716328587,8.489974518317132,16.736938191395208,19.503570229509062,168.96506978411807
2.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0006583162343915948,0.6442931601295265,2.5130551648952393,9.294135551956504,17.857344039134073,20.71360445602359,170.52110125530487
2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.005169823733797468,0.8986109672434017,2.961032953719883,10.079457530142276,18.93616878999036,21.87502517024323,171.91085244334172
