hours,200yr,500yr,1000yr,10000yr,PMF
0.0,0.0,0.0,0.0,0.0,0.0
0.08333333325572312,0.0,0.0,0.0,0.0,0.0
0.16666666668606922,0.0,0.0,0.0,0.0,0.0
0.24999999994179234,0.0,0.0,0.0,0.0,0.0
0.33333333337213844,0.0,0.0,0.0,0.0,0.04434372876672532
0.41666666662786156,0.0,0.0,0.0,0.0,0.2671147812329613
0.5000000000582077,0.0,0.0,0.0,0.0,0.8820736846858791
0.5833333333139308,0.0,0.0,0.0,0.0,2.1730979324243105
0.6666666667442769,0.0,0.0,0.0,0.0,4.391077608249891
0.75,0.0,0.0,0.0,0.0,7.6190980125511025
0.8333333332557231,0.0,0.0,0.0,0.0,11.773657572870334
0.9166666666860692,0.0,0.0,0.0,0.0,16.65912749593054
0.9999999999417923,0.0,0.0,0.0,0.00039659021752292534,22.03512445867495
1.0833333333721384,0.0,0.0,0.0,0.00741445410081207,27.648756355659998
1.1666666666278616,0.0,0.0,0.0,0.03510563929980565,33.24088395448842
1.2500000000582077,0.0,0.0,0.0,0.1037273890898735,38.62815550308787
1.3333333333139308,0.0,0.0,0.0,0.2398682846514412,43.727645324404804
1.4166666667442769,0.0,0.0,0.0,0.46582344165333844,48.49790639768233
1.5,0.0,0.0,0.0,0.7902597413267392,52.91323755740699
1.5833333332557231,0.0,0.0,0.0,1.2148285769412817,56.976354473668664
1.6666666666860692,0.0,0.0,0.0,1.7351411983617933,60.718505289052196
1.7499999999417923,0.0,0.0,0.0,2.336257431161133,64.1540828304875
1.8333333333721384,0.0,0.0,0.0,2.997881659498961,67.28438893157102
1.9166666666278616,0.0,0.0,1.5373004826900496e-05,3.6964631983971956,70.12186848628724
2.0000000000582077,0.0,0.0,0.0012466895668675703,4.411803191552567,72.69547841111928
2.083333333313931,0.0,0.0,0.007063721433956413,5.13584188481424,75.05615566108385
2.166666666744277,0.0,0.0,0.023027159283555643,5.86571721784157,77.2675465574713
2.25,0.0,0.0,0.05710204667708633,6.598361657055345,79.41028965763991
2.333333333255723,0.0,0.0001392741989613742,0.11699406316855616,7.33078316905613,81.6016943951883
2.416666666686069,0.0,0.001850548345358821,0.20758569805161828,8.061166132095064,84.00232594513017
2.4999999999417923,0.0,0.008206662452108722,0.3304721028479141,8.794426326665045,86.81168592130926
2.5833333333721384,0.0,0.02374009999873309,0.4836687559110375,9.52666149364197,90.22095219098415
2.6666666666278616,0.0,0.05434065980496104,0.6633487817663811,10.245469992344919,94.37044045486567
2.7500000000582077,0.0,0.10480741540758566,0.8642587206696988,10.94279477476682,99.3577087117866
2.833333333313931,0.0,0.17722282681690718,1.0797458412916987,11.617994476955657,105.23035267823357
2.916666666744277,0.0,0.2717822562659127,1.3057605415623323,12.277129604919379,111.95449600526696
3.0,0.00043604152889496203,0.3871708714574676,1.5405006744739314,12.924895541669569,119.42188309089568
3.083333333255723,0.002807046036117443,0.5214538978809603,1.7831802226778943,13.56676411985511,127.51616126611165
3.166666666686069,0.009717623333022781,0.6719219851507597,2.033390525384138,14.220166893797128,136.13276718595452
3.2499999999417923,0.0248727932051857,0.835061037625535,2.289803346495838,14.89761173321833,145.1330775949174
3.3333333333721384,0.052173478025631034,1.0085225132910867,2.5521048927058585,15.605997183744536,154.35966607595566
3.4166666666278616,0.09408593271011517,1.189684594940885,2.818103545731928,16.364000927853198,163.67592459266876
3.5000000000582077,0.15127786066354035,1.375466606486022,3.0836049497258617,17.20069420234304,172.9719492196117
3.583333333313931,0.2232940951654557,1.564451918592246,3.3475107125470958,18.137261357211912,182.16364813127876
3.666666666744277,0.3088972872969579,1.7561169841959117,3.611078487660966,19.18119218662346,191.17288572181957
3.75,0.4063968026512474,1.9504732373414906,3.8758713212602687,20.341758879707022,199.92732315826865
3.833333333255723,0.5137031361073597,2.147828843592847,4.143844637453633,21.638962246901677,208.3841647003903
3.916666666686069,0.6283371019363105,2.3466183387677617,4.413814744300411,23.070369783264194,216.55223342717
3.9999999999417923,0.7483130101815028,2.5455918379920823,4.685849185187707,24.61032467745579,224.52727743168106
4.083333333372138,0.8725185758553754,2.7451778392443966,4.961963059392123,26.24472316572725,232.4935732207715
4.166666666627862,0.9999945809315971,2.9452177156442154,5.244036300120385,27.974523373391566,240.6242113129502
4.250000000058208,1.1303305783414497,3.1469709960258876,5.536741372978388,29.795772338202827,248.61714809151283
4.333333333313931,1.2636935982581872,3.3529263745468394,5.846963929261911,31.693369210221533,256.2795199216115
4.416666666744277,1.3998329407427985,3.5644090127216224,6.179525518934168,33.64993844769817,263.64789201742957
4.5,1.5383252041241502,3.782548846440409,6.538582542816033,35.66168460424387,270.9951314780004
4.583333333255723,1.6793087947460088,4.00988459536743,6.9296676091742,37.71479922635662,278.9076795464749
4.666666666686069,1.8235530337359693,4.25102999453504,7.360531757135442,39.787256739277076,288.39081797131206
4.749999999941792,1.9704500032211392,4.506658361567928,7.831412656403004,41.86130429016235,301.25090004382463
4.833333333372138,2.1177554765090045,4.774824964779737,8.336979279827684,43.92481382133174,321.3391681039619
4.916666666627862,2.2649729270303625,5.057005309834017,8.87588492866055,45.98229939566772,355.5327277176739
5.000000000058208,2.4130633792122964,5.357383225325569,9.4500660961809,48.043922995163086,409.31100451556415
5.083333333313931,2.5650739404826153,5.683250338025148,10.065389097578114,50.10929374089266,477.6526018449703
5.166666666744277,2.7246359949481183,6.041763297631662,10.72707649168049,52.18259114003406,547.0143585141981
5.25,2.893388635688974,6.434951438017018,11.432733473618741,54.25575314919415,608.3410054291071
5.333333333255723,3.073514323386964,6.86478024563212,12.180574481971739,56.31748030710743,662.5200718865433
5.416666666686069,3.2651600655969135,7.328140465582581,12.962045452661954,58.36672475274035,717.77667485374
