time (hr),2yr,5yr,10yr,25yr,50yr,100yr,200yr,500yr,1000yr,2000yr,5000yr,10000yr,PMP
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106633315251645
0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14196104139799945
0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6174412272304651
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7561500794931346
0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.940837957926473
0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.398938598937164
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.117188300625989
0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.89784008439706
0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.429736687650855
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003892188699992428,31.39089891475241
1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009383381342896226,0.0073666785218619805,38.4458945776069
1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009649967074024567,0.03495430399912637,45.28445314354284
1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03885735307472754,0.10337734286870717,51.74335455627628
1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10720204838864957,0.23920440437280396,57.7569219580695
1.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012455934873221008,0.23928174769341018,0.46475250730593953,63.304539861314005
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00884993248175034,0.4525597662330529,0.7887259996204493,68.37170204224542
1.5833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032492417566876375,0.7562516432679768,1.2128058140276652,72.97639416516154
1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08634541596966677,1.152472094481274,1.7326246346473706,77.17270037189999
1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18537723322563546,1.6310732691371252,2.333259987278563,80.98920664067073
1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3390618443830507,2.1772090594595666,2.9944368646774566,84.4337967907964
1.9166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.397494558859688e-05,0.5501194499056699,2.7716271998502067,3.6926133740904485,87.52963647618948
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012305941810853566,0.814656332530049,3.3925319319859697,4.407582985592442,90.32188280215114
2.0833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00700538861411835,1.1262495133788981,4.029857394321133,5.131279503543711,92.88608169782756
2.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022883820591673796,1.478077274438832,4.678958968507407,5.860835009391128,95.31982748639979
2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056816177068661974,1.861236027232605,5.335955801265373,6.593179834304811,97.74961457661693
2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013496011451981732,0.11651741492249064,2.2666490881881596,5.99724154641222,7.325319392292312,100.35175628661031
2.4166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018264774440156866,0.20688872737895392,2.688547030300912,6.660034444907183,8.05543485460288,103.35022244555792
2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00813505036151867,0.3295418833755316,3.1245403703313923,7.327635317259448,8.788435828018017,106.99707091942928
2.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023579979927478838,0.4825080775866901,3.570223497094915,7.996346830059697,9.520420548745724,111.50490092530147
2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05404623663584143,0.6619685317791564,4.018100495871329,8.654432086970486,10.23899144373281,116.99601320365812
2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1043451894415385,0.8626805938266883,4.462318810663123,9.294839506503628,10.936093408406371,123.52467958232666
