time_h,date,total_flow,weir_flow,stage_hw,stage_tw,breach_width,breach_bottom,breach_flow,breach_velocity
-0.0,01JAN2000 00:00:00,0.246,0.246,84.507,23.925,0.0,0.0,0.0,0.0
0.0833,01JAN2000 00:05:00,0.245,0.245,84.507,23.299,nan,nan,nan,nan
0.1667,01JAN2000 00:10:00,0.245,0.245,84.507,23.299,nan,nan,nan,nan
0.25,01JAN2000 00:15:00,0.257,0.257,84.507,23.3,nan,nan,nan,nan
0.3333,01JAN2000 00:20:00,0.283,0.283,84.507,23.305,nan,nan,nan,nan
0.4167,01JAN2000 00:25:00,0.325,0.325,84.508,23.312,nan,nan,nan,nan
0.5,01JAN2000 00:30:00,0.386,0.386,84.509,23.321,nan,nan,nan,nan
0.5833,01JAN2000 00:35:00,0.462,0.462,84.51,23.33,nan,nan,nan,nan
0.6667,01JAN2000 00:40:00,0.552,0.552,84.512,23.338,nan,nan,nan,nan
0.75,01JAN2000 00:45:00,0.656,0.656,84.513,23.344,nan,nan,nan,nan
0.8333,01JAN2000 00:50:00,0.769,0.769,84.514,23.35,nan,nan,nan,nan
0.9167,01JAN2000 00:55:00,0.894,0.894,84.516,23.355,nan,nan,nan,nan
1.0,01JAN2000 01:00:00,1.032,1.032,84.518,23.361,nan,nan,nan,nan
1.0833,01JAN2000 01:05:00,1.188,1.188,84.519,23.366,nan,nan,nan,nan
1.1667,01JAN2000 01:10:00,1.365,1.365,84.521,23.372,nan,nan,nan,nan
1.25,01JAN2000 01:15:00,1.57,1.57,84.523,23.379,nan,nan,nan,nan
1.3333,01JAN2000 01:20:00,1.826,1.826,84.526,23.385,nan,nan,nan,nan
1.4167,01JAN2000 01:25:00,2.098,2.098,84.528,23.391,nan,nan,nan,nan
1.5,01JAN2000 01:30:00,2.382,2.382,84.531,23.397,nan,nan,nan,nan
1.5833,01JAN2000 01:35:00,2.667,2.667,84.533,23.402,nan,nan,nan,nan
1.6667,01JAN2000 01:40:00,2.991,2.991,84.536,23.405,nan,nan,nan,nan
1.75,01JAN2000 01:45:00,3.415,3.415,84.539,23.409,nan,nan,nan,nan
1.8333,01JAN2000 01:50:00,3.867,3.867,84.543,23.412,nan,nan,nan,nan
1.9167,01JAN2000 01:55:00,4.386,4.386,84.546,23.416,nan,nan,nan,nan
2.0,01JAN2000 02:00:00,5.424,5.424,84.553,23.425,nan,nan,nan,nan
2.0833,01JAN2000 02:05:00,7.382,7.382,84.566,23.446,nan,nan,nan,nan
2.1667,01JAN2000 02:10:00,9.352,9.352,84.577,23.477,nan,nan,nan,nan
2.25,01JAN2000 02:15:00,11.069,11.069,84.586,23.508,nan,nan,nan,nan
2.3333,01JAN2000 02:20:00,12.63,12.63,84.594,23.529,nan,nan,nan,nan
2.4167,01JAN2000 02:25:00,14.219,14.219,84.602,23.548,nan,nan,nan,nan
2.5,01JAN2000 02:30:00,16.68,16.68,84.613,23.574,nan,nan,nan,nan
2.5833,01JAN2000 02:35:00,19.377,19.377,84.625,23.599,nan,nan,nan,nan
2.6667,01JAN2000 02:40:00,22.068,22.068,84.636,23.623,nan,nan,nan,nan
2.75,01JAN2000 02:45:00,24.588,24.588,84.646,23.644,nan,nan,nan,nan
2.8333,01JAN2000 02:50:00,27.203,27.203,84.657,23.664,nan,nan,nan,nan
2.9167,01JAN2000 02:55:00,30.068,30.068,84.667,23.686,nan,nan,nan,nan
3.0,01JAN2000 03:00:00,33.195,33.195,84.679,23.71,nan,nan,nan,nan
3.0833,01JAN2000 03:05:00,36.467,36.467,84.69,23.735,nan,nan,nan,nan
3.1667,01JAN2000 03:10:00,39.668,39.668,84.701,23.759,nan,nan,nan,nan
3.25,01JAN2000 03:15:00,42.74,42.74,84.712,23.78,nan,nan,nan,nan
3.3333,01JAN2000 03:20:00,46.158,46.158,84.723,23.804,nan,nan,nan,nan
3.4167,01JAN2000 03:25:00,50.006,50.006,84.735,23.829,nan,nan,nan,nan
3.5,01JAN2000 03:30:00,54.196,54.196,84.748,23.855,nan,nan,nan,nan
3.5833,01JAN2000 03:35:00,58.706,58.706,84.762,23.882,nan,nan,nan,nan
3.6667,01JAN2000 03:40:00,63.378,63.378,84.775,23.908,nan,nan,nan,nan
3.75,01JAN2000 03:45:00,68.509,68.509,84.79,23.932,nan,nan,nan,nan
3.8333,01JAN2000 03:50:00,73.952,73.952,84.805,23.951,nan,nan,nan,nan
3.9167,01JAN2000 03:55:00,79.748,79.748,84.821,23.975,nan,nan,nan,nan
4.0,01JAN2000 04:00:00,85.939,85.939,84.837,24.001,nan,nan,nan,nan
4.0833,01JAN2000 04:05:00,92.321,92.321,84.854,24.028,nan,nan,nan,nan
4.1667,01JAN2000 04:10:00,99.037,99.037,84.871,24.055,nan,nan,nan,nan
4.25,01JAN2000 04:15:00,105.793,105.793,84.887,24.083,nan,nan,nan,nan
4.3333,01JAN2000 04:20:00,112.725,112.725,84.904,24.111,nan,nan,nan,nan
4.4167,01JAN2000 04:25:00,120.353,120.353,84.922,24.141,nan,nan,nan,nan
4.5,01JAN2000 04:30:00,128.524,128.524,84.941,24.173,nan,nan,nan,nan
4.5833,01JAN2000 04:35:00,136.618,136.618,84.959,24.203,nan,nan,nan,nan
4.6667,01JAN2000 04:40:00,145.081,145.081,84.978,24.234,nan,nan,nan,nan
4.75,01JAN2000 04:45:00,153.688,153.688,84.997,24.265,nan,nan,nan,nan
4.8333,01JAN2000 04:50:00,162.086,162.086,85.014,24.292,nan,nan,nan,nan
4.9167,01JAN2000 04:55:00,171.115,171.115,85.033,24.316,nan,nan,nan,nan
5.0,01JAN2000 05:00:00,180.084,180.084,85.052,24.34,nan,nan,nan,nan
5.0833,01JAN2000 05:05:00,189.181,189.181,85.07,24.365,nan,nan,nan,nan
5.1667,01JAN2000 05:10:00,199.12,199.119,85.09,24.393,nan,nan,nan,nan
5.25,01JAN2000 05:15:00,211.184,211.184,85.114,24.427,nan,nan,nan,nan
5.3333,01JAN2000 05:20:00,227.103,227.103,85.144,24.471,nan,nan,nan,nan
5.4167,01JAN2000 05:25:00,248.313,248.313,85.184,24.53,nan,nan,nan,nan
5.5,01JAN2000 05:30:00,273.976,273.976,85.23,24.598,nan,nan,nan,nan
5.5833,01JAN2000 05:35:00,301.983,301.983,85.279,24.672,nan,nan,nan,nan
5.6667,01JAN2000 05:40:00,330.452,330.452,85.327,24.742,nan,nan,nan,nan
5.75,01JAN2000 05:45:00,359.689,359.689,85.375,24.812,nan,nan,nan,nan
5.8333,01JAN2000 05:50:00,392.39,392.39,85.427,24.886,nan,nan,nan,nan
5.9167,01JAN2000 05:55:00,432.614,432.614,85.49,24.976,nan,nan,nan,nan
6.0,01JAN2000 06:00:00,481.776,481.776,85.563,25.091,nan,nan,nan,nan
6.0833,01JAN2000 06:05:00,541.176,541.176,85.649,25.22,nan,nan,nan,nan
6.1667,01JAN2000 06:10:00,610.671,610.672,85.745,25.34,nan,nan,nan,nan
6.25,01JAN2000 06:15:00,687.86,687.86,85.848,25.491,nan,nan,nan,nan
6.3333,01JAN2000 06:20:00,768.71,768.71,85.953,25.586,nan,nan,nan,nan
6.4167,01JAN2000 06:25:00,850.913,850.914,86.053,25.717,nan,nan,nan,nan
6.5,01JAN2000 06:30:00,934.63,934.63,86.155,25.857,nan,nan,nan,nan
6.5833,01JAN2000 06:35:00,1020.523,1020.522,86.253,26.013,nan,nan,nan,nan
6.6667,01JAN2000 06:40:00,1108.722,1108.722,86.353,26.102,nan,nan,nan,nan
6.75,01JAN2000 06:45:00,1197.354,1197.355,86.45,26.252,nan,nan,nan,nan
6.8333,01JAN2000 06:50:00,1287.024,1287.024,86.546,26.331,nan,nan,nan,nan
6.9167,01JAN2000 06:55:00,1378.348,1378.348,86.642,26.409,nan,nan,nan,nan
7.0,01JAN2000 07:00:00,1472.239,1472.239,86.738,26.497,nan,nan,nan,nan
7.0833,01JAN2000 07:05:00,1569.015,1569.016,86.835,26.508,nan,nan,nan,nan
7.1667,01JAN2000 07:10:00,1666.361,1666.361,86.931,26.63,nan,nan,nan,nan
7.25,01JAN2000 07:15:00,1766.642,1766.643,87.027,26.764,nan,nan,nan,nan
7.3333,01JAN2000 07:20:00,1868.52,1868.52,87.123,27.123,nan,nan,nan,nan
7.4167,01JAN2000 07:25:00,1972.093,1972.093,87.219,27.24,nan,nan,nan,nan
7.5,01JAN2000 07:30:00,2071.956,2071.956,87.31,27.343,nan,nan,nan,nan
7.5833,01JAN2000 07:35:00,2168.568,2168.568,87.397,27.429,nan,nan,nan,nan
7.6667,01JAN2000 07:40:00,2264.064,2264.064,87.481,27.514,nan,nan,nan,nan
7.75,01JAN2000 07:45:00,2357.471,2357.471,87.562,27.596,nan,nan,nan,nan
7.8333,01JAN2000 07:50:00,2448.621,2448.621,87.641,27.67,nan,nan,nan,nan
7.9167,01JAN2000 07:55:00,2536.801,2536.801,87.716,27.737,nan,nan,nan,nan
8.0,01JAN2000 08:00:00,2621.106,2621.106,87.787,27.793,nan,nan,nan,nan
8.0833,01JAN2000 08:05:00,2702.86,2702.86,87.855,27.845,nan,nan,nan,nan
8.1667,01JAN2000 08:10:00,2782.621,2782.621,87.92,27.897,nan,nan,nan,nan
8.25,01JAN2000 08:15:00,2860.743,2860.743,87.984,27.942,nan,nan,nan,nan
8.3333,01JAN2000 08:20:00,2936.878,2936.878,88.045,27.989,nan,nan,nan,nan
8.4167,01JAN2000 08:25:00,3010.132,3010.132,88.104,28.042,nan,nan,nan,nan
8.5,01JAN2000 08:30:00,3080.724,3080.724,88.16,28.099,nan,nan,nan,nan
8.5833,01JAN2000 08:35:00,3147.486,3147.486,88.213,28.154,nan,nan,nan,nan
8.6667,01JAN2000 08:40:00,3212.895,3212.894,88.264,28.206,nan,nan,nan,nan
8.75,01JAN2000 08:45:00,3276.643,3276.643,88.314,28.256,nan,nan,nan,nan
8.8333,01JAN2000 08:50:00,3339.23,3339.229,88.362,28.306,nan,nan,nan,nan
8.9167,01JAN2000 08:55:00,3399.4,3399.4,88.408,28.343,nan,nan,nan,nan
9.0,01JAN2000 09:00:00,3458.146,3458.146,88.453,28.161,nan,nan,nan,nan
9.0833,01JAN2000 09:05:00,3516.026,3516.026,88.497,28.318,nan,nan,nan,nan
9.1667,01JAN2000 09:10:00,3572.056,3572.056,88.539,28.453,nan,nan,nan,nan
9.25,01JAN2000 09:15:00,3626.611,3626.612,88.58,28.45,nan,nan,nan,nan
9.3333,01JAN2000 09:20:00,3680.575,3680.575,88.62,28.523,nan,nan,nan,nan
9.4167,01JAN2000 09:25:00,3732.784,3732.784,88.659,28.588,nan,nan,nan,nan
9.5,01JAN2000 09:30:00,3784.455,3784.455,88.698,28.662,nan,nan,nan,nan
9.5833,01JAN2000 09:35:00,3836.053,3836.053,88.736,28.802,nan,nan,nan,nan
9.6667,01JAN2000 09:40:00,3886.813,3886.812,88.773,28.761,nan,nan,nan,nan
9.75,01JAN2000 09:45:00,3935.363,3935.363,88.808,28.928,nan,nan,nan,nan
9.8333,01JAN2000 09:50:00,3983.083,3983.083,88.843,28.902,nan,nan,nan,nan
9.9167,01JAN2000 09:55:00,4030.572,4030.572,88.877,28.961,nan,nan,nan,nan
10.0,01JAN2000 10:00:00,4079.378,4079.378,88.912,29.116,nan,nan,nan,nan
10.0833,01JAN2000 10:05:00,4125.63,4125.63,88.946,29.187,nan,nan,nan,nan
10.1667,01JAN2000 10:10:00,4172.095,4172.095,88.979,29.237,nan,nan,nan,nan
10.25,01JAN2000 10:15:00,4217.858,4217.858,89.012,29.271,nan,nan,nan,nan
10.3333,01JAN2000 10:20:00,4263.88,4263.88,89.044,29.305,nan,nan,nan,nan
10.4167,01JAN2000 10:25:00,4308.122,4308.122,89.076,29.346,nan,nan,nan,nan
10.5,01JAN2000 10:30:00,4355.358,4355.359,89.109,29.451,nan,nan,nan,nan
10.5833,01JAN2000 10:35:00,4401.427,4401.427,89.141,29.595,nan,nan,nan,nan
10.6667,01JAN2000 10:40:00,4447.083,4447.083,89.173,29.639,nan,nan,nan,nan
10.75,01JAN2000 10:45:00,4493.483,4493.482,89.206,29.614,nan,nan,nan,nan
10.8333,01JAN2000 10:50:00,4540.609,4540.609,89.239,29.635,nan,nan,nan,nan
10.9167,01JAN2000 10:55:00,4588.813,4588.813,89.272,29.784,nan,nan,nan,nan
11.0,01JAN2000 11:00:00,4639.98,4639.98,89.308,29.958,nan,nan,nan,nan
11.0833,01JAN2000 11:05:00,4691.599,4691.599,89.343,29.944,nan,nan,nan,nan
11.1667,01JAN2000 11:10:00,4744.751,4744.752,89.38,29.907,nan,nan,nan,nan
11.25,01JAN2000 11:15:00,4799.159,4799.159,89.417,30.068,nan,nan,nan,nan
11.3333,01JAN2000 11:20:00,4856.746,4856.746,89.456,30.266,nan,nan,nan,nan
11.4167,01JAN2000 11:25:00,4919.315,4919.316,89.498,30.242,nan,nan,nan,nan
11.5,01JAN2000 11:30:00,4985.219,4985.218,89.543,30.288,nan,nan,nan,nan
11.5833,01JAN2000 11:35:00,5056.44,5056.439,89.591,30.535,nan,nan,nan,nan
11.6667,01JAN2000 11:40:00,5131.286,5131.287,89.641,30.45,nan,nan,nan,nan
11.75,01JAN2000 11:45:00,5219.15,5219.15,89.699,30.759,nan,nan,nan,nan
11.8333,01JAN2000 11:50:00,5313.907,5313.907,89.762,30.643,nan,nan,nan,nan
11.9167,01JAN2000 11:55:00,5452.884,5452.884,89.853,30.972,nan,nan,nan,nan
12.0,01JAN2000 12:00:00,5607.47,5607.47,89.953,30.98,nan,nan,nan,nan
12.0833,01JAN2000 12:05:00,5744.579,5744.579,90.042,31.525,nan,nan,nan,nan
12.1667,01JAN2000 12:10:00,5897.362,5897.362,90.14,31.51,nan,nan,nan,nan
12.25,01JAN2000 12:15:00,6021.791,6021.791,90.219,31.889,nan,nan,nan,nan
12.3333,01JAN2000 12:20:00,6131.042,6131.042,90.288,32.247,nan,nan,nan,nan
12.4167,01JAN2000 12:25:00,6244.923,6244.923,90.36,32.425,nan,nan,nan,nan
12.5,01JAN2000 12:30:00,6372.167,6372.166,90.439,32.683,nan,nan,nan,nan
12.5833,01JAN2000 12:35:00,6526.042,6526.042,90.535,33.053,nan,nan,nan,nan
12.6667,01JAN2000 12:40:00,6674.046,6674.046,90.626,33.363,nan,nan,nan,nan
12.75,01JAN2000 12:45:00,6825.851,6825.851,90.718,33.644,nan,nan,nan,nan
12.8333,01JAN2000 12:50:00,6981.807,6981.806,90.813,34.245,nan,nan,nan,nan
12.9167,01JAN2000 12:55:00,7141.75,7141.751,90.909,35.022,nan,nan,nan,nan
13.0,01JAN2000 13:00:00,7305.621,7305.62,91.006,35.234,nan,nan,nan,nan
13.0833,01JAN2000 13:05:00,7477.884,7477.885,91.108,35.448,nan,nan,nan,nan
13.1667,01JAN2000 13:10:00,7666.139,7666.139,91.218,35.706,nan,nan,nan,nan
13.25,01JAN2000 13:15:00,7875.126,7875.125,91.34,36.008,nan,nan,nan,nan
13.3333,01JAN2000 13:20:00,8110.904,8110.904,91.476,36.349,nan,nan,nan,nan
13.4167,01JAN2000 13:25:00,8378.406,8378.407,91.629,36.973,nan,nan,nan,nan
13.5,01JAN2000 13:30:00,8677.695,8677.695,91.797,37.379,nan,nan,nan,nan
