time_h,date,total_flow,weir_flow,stage_hw,stage_tw,breach_width,breach_bottom,breach_flow,breach_velocity
-0.0,01JAN2000 00:00:00,0.246,0.246,84.507,23.925,0.0,0.0,0.0,0.0
0.0833,01JAN2000 00:05:00,0.245,0.245,84.507,23.299,nan,nan,nan,nan
0.1667,01JAN2000 00:10:00,0.245,0.245,84.507,23.299,nan,nan,nan,nan
0.25,01JAN2000 00:15:00,0.257,0.257,84.507,23.3,nan,nan,nan,nan
0.3333,01JAN2000 00:20:00,0.283,0.283,84.507,23.305,nan,nan,nan,nan
0.4167,01JAN2000 00:25:00,0.325,0.325,84.508,23.312,nan,nan,nan,nan
0.5,01JAN2000 00:30:00,0.386,0.386,84.509,23.321,nan,nan,nan,nan
0.5833,01JAN2000 00:35:00,0.462,0.462,84.51,23.33,nan,nan,nan,nan
0.6667,01JAN2000 00:40:00,0.552,0.552,84.512,23.338,nan,nan,nan,nan
0.75,01JAN2000 00:45:00,0.656,0.656,84.513,23.344,nan,nan,nan,nan
0.8333,01JAN2000 00:50:00,0.769,0.769,84.514,23.35,nan,nan,nan,nan
0.9167,01JAN2000 00:55:00,0.894,0.894,84.516,23.355,nan,nan,nan,nan
1.0,01JAN2000 01:00:00,1.032,1.032,84.518,23.361,nan,nan,nan,nan
1.0833,01JAN2000 01:05:00,1.188,1.188,84.519,23.366,nan,nan,nan,nan
1.1667,01JAN2000 01:10:00,1.365,1.365,84.521,23.372,nan,nan,nan,nan
1.25,01JAN2000 01:15:00,1.57,1.57,84.523,23.379,nan,nan,nan,nan
1.3333,01JAN2000 01:20:00,1.826,1.826,84.526,23.385,nan,nan,nan,nan
1.4167,01JAN2000 01:25:00,2.098,2.098,84.528,23.391,nan,nan,nan,nan
1.5,01JAN2000 01:30:00,2.382,2.382,84.531,23.397,nan,nan,nan,nan
1.5833,01JAN2000 01:35:00,2.667,2.667,84.533,23.402,nan,nan,nan,nan
1.6667,01JAN2000 01:40:00,2.991,2.991,84.536,23.405,nan,nan,nan,nan
1.75,01JAN2000 01:45:00,3.415,3.415,84.539,23.409,nan,nan,nan,nan
1.8333,01JAN2000 01:50:00,3.867,3.867,84.543,23.412,nan,nan,nan,nan
1.9167,01JAN2000 01:55:00,4.386,4.386,84.546,23.416,nan,nan,nan,nan
2.0,01JAN2000 02:00:00,5.424,5.424,84.553,23.425,nan,nan,nan,nan
2.0833,01JAN2000 02:05:00,7.382,7.382,84.566,23.446,nan,nan,nan,nan
2.1667,01JAN2000 02:10:00,9.352,9.352,84.577,23.477,nan,nan,nan,nan
2.25,01JAN2000 02:15:00,11.069,11.069,84.586,23.508,nan,nan,nan,nan
2.3333,01JAN2000 02:20:00,12.63,12.63,84.594,23.529,nan,nan,nan,nan
2.4167,01JAN2000 02:25:00,14.219,14.219,84.602,23.548,nan,nan,nan,nan
2.5,01JAN2000 02:30:00,16.68,16.68,84.613,23.574,nan,nan,nan,nan
2.5833,01JAN2000 02:35:00,19.377,19.377,84.625,23.599,nan,nan,nan,nan
2.6667,01JAN2000 02:40:00,22.068,22.068,84.636,23.623,nan,nan,nan,nan
2.75,01JAN2000 02:45:00,24.588,24.588,84.646,23.644,nan,nan,nan,nan
2.8333,01JAN2000 02:50:00,27.203,27.203,84.657,23.664,nan,nan,nan,nan
2.9167,01JAN2000 02:55:00,30.068,30.068,84.667,23.686,nan,nan,nan,nan
3.0,01JAN2000 03:00:00,33.204,33.204,84.679,23.71,nan,nan,nan,nan
3.0833,01JAN2000 03:05:00,36.468,36.468,84.69,23.735,nan,nan,nan,nan
3.1667,01JAN2000 03:10:00,39.669,39.669,84.701,23.759,nan,nan,nan,nan
3.25,01JAN2000 03:15:00,42.74,42.74,84.712,23.78,nan,nan,nan,nan
3.3333,01JAN2000 03:20:00,46.161,46.161,84.723,23.804,nan,nan,nan,nan
3.4167,01JAN2000 03:25:00,50.008,50.008,84.735,23.829,nan,nan,nan,nan
3.5,01JAN2000 03:30:00,54.193,54.193,84.748,23.855,nan,nan,nan,nan
3.5833,01JAN2000 03:35:00,58.706,58.706,84.762,23.882,nan,nan,nan,nan
3.6667,01JAN2000 03:40:00,63.376,63.376,84.775,23.908,nan,nan,nan,nan
3.75,01JAN2000 03:45:00,68.507,68.507,84.79,23.932,nan,nan,nan,nan
3.8333,01JAN2000 03:50:00,73.949,73.949,84.805,23.951,nan,nan,nan,nan
3.9167,01JAN2000 03:55:00,79.749,79.749,84.821,23.975,nan,nan,nan,nan
4.0,01JAN2000 04:00:00,85.936,85.936,84.837,24.001,nan,nan,nan,nan
4.0833,01JAN2000 04:05:00,92.32,92.32,84.854,24.028,nan,nan,nan,nan
4.1667,01JAN2000 04:10:00,99.044,99.044,84.871,24.055,nan,nan,nan,nan
4.25,01JAN2000 04:15:00,105.799,105.799,84.887,24.083,nan,nan,nan,nan
4.3333,01JAN2000 04:20:00,112.732,112.732,84.904,24.111,nan,nan,nan,nan
4.4167,01JAN2000 04:25:00,120.361,120.361,84.922,24.141,nan,nan,nan,nan
4.5,01JAN2000 04:30:00,128.529,128.529,84.941,24.172,nan,nan,nan,nan
4.5833,01JAN2000 04:35:00,136.625,136.625,84.959,24.203,nan,nan,nan,nan
4.6667,01JAN2000 04:40:00,145.085,145.085,84.978,24.234,nan,nan,nan,nan
4.75,01JAN2000 04:45:00,153.69,153.69,84.997,24.264,nan,nan,nan,nan
4.8333,01JAN2000 04:50:00,162.093,162.093,85.014,24.292,nan,nan,nan,nan
4.9167,01JAN2000 04:55:00,171.121,171.121,85.033,24.316,nan,nan,nan,nan
5.0,01JAN2000 05:00:00,180.09,180.09,85.052,24.34,nan,nan,nan,nan
5.0833,01JAN2000 05:05:00,189.192,189.192,85.07,24.365,nan,nan,nan,nan
5.1667,01JAN2000 05:10:00,199.124,199.124,85.09,24.392,nan,nan,nan,nan
5.25,01JAN2000 05:15:00,211.186,211.186,85.114,24.426,nan,nan,nan,nan
5.3333,01JAN2000 05:20:00,227.114,227.114,85.144,24.47,nan,nan,nan,nan
5.4167,01JAN2000 05:25:00,248.323,248.323,85.184,24.528,nan,nan,nan,nan
5.5,01JAN2000 05:30:00,273.985,273.985,85.23,24.596,nan,nan,nan,nan
5.5833,01JAN2000 05:35:00,302.006,302.006,85.279,24.666,nan,nan,nan,nan
5.6667,01JAN2000 05:40:00,330.475,330.475,85.327,24.739,nan,nan,nan,nan
5.75,01JAN2000 05:45:00,359.697,359.697,85.375,24.806,nan,nan,nan,nan
5.8333,01JAN2000 05:50:00,392.406,392.406,85.427,24.885,nan,nan,nan,nan
5.9167,01JAN2000 05:55:00,432.662,432.662,85.49,24.965,nan,nan,nan,nan
6.0,01JAN2000 06:00:00,481.789,481.789,85.563,25.074,nan,nan,nan,nan
6.0833,01JAN2000 06:05:00,541.21,541.21,85.65,25.206,nan,nan,nan,nan
6.1667,01JAN2000 06:10:00,610.697,610.697,85.746,25.349,nan,nan,nan,nan
6.25,01JAN2000 06:15:00,687.874,687.874,85.849,25.479,nan,nan,nan,nan
6.3333,01JAN2000 06:20:00,768.656,768.656,85.952,25.599,nan,nan,nan,nan
6.4167,01JAN2000 06:25:00,850.87,850.87,86.053,25.715,nan,nan,nan,nan
6.5,01JAN2000 06:30:00,934.538,934.537,86.153,25.866,nan,nan,nan,nan
6.5833,01JAN2000 06:35:00,1020.503,1020.503,86.254,26.015,nan,nan,nan,nan
6.6667,01JAN2000 06:40:00,1108.674,1108.674,86.353,26.102,nan,nan,nan,nan
6.75,01JAN2000 06:45:00,1197.318,1197.317,86.45,26.252,nan,nan,nan,nan
6.8333,01JAN2000 06:50:00,1286.987,1286.987,86.546,26.331,nan,nan,nan,nan
6.9167,01JAN2000 06:55:00,1378.313,1378.313,86.642,26.409,nan,nan,nan,nan
7.0,01JAN2000 07:00:00,1472.206,1472.206,86.738,26.497,nan,nan,nan,nan
7.0833,01JAN2000 07:05:00,1568.986,1568.986,86.835,26.508,nan,nan,nan,nan
7.1667,01JAN2000 07:10:00,1666.335,1666.335,86.931,26.63,nan,nan,nan,nan
7.25,01JAN2000 07:15:00,1766.607,1766.607,87.027,26.764,nan,nan,nan,nan
7.3333,01JAN2000 07:20:00,1868.497,1868.497,87.123,27.123,nan,nan,nan,nan
7.4167,01JAN2000 07:25:00,1972.076,1972.076,87.219,27.241,nan,nan,nan,nan
7.5,01JAN2000 07:30:00,2071.935,2071.934,87.31,27.342,nan,nan,nan,nan
7.5833,01JAN2000 07:35:00,2168.545,2168.545,87.397,27.43,nan,nan,nan,nan
7.6667,01JAN2000 07:40:00,2264.047,2264.047,87.481,27.514,nan,nan,nan,nan
7.75,01JAN2000 07:45:00,2357.459,2357.459,87.562,27.596,nan,nan,nan,nan
7.8333,01JAN2000 07:50:00,2448.595,2448.595,87.641,27.67,nan,nan,nan,nan
7.9167,01JAN2000 07:55:00,2536.796,2536.796,87.716,27.737,nan,nan,nan,nan
8.0,01JAN2000 08:00:00,2621.069,2621.069,87.787,27.794,nan,nan,nan,nan
8.0833,01JAN2000 08:05:00,2702.852,2702.852,87.855,27.846,nan,nan,nan,nan
8.1667,01JAN2000 08:10:00,2782.614,2782.614,87.92,27.897,nan,nan,nan,nan
8.25,01JAN2000 08:15:00,2860.733,2860.733,87.984,27.942,nan,nan,nan,nan
8.3333,01JAN2000 08:20:00,2936.87,2936.87,88.045,27.989,nan,nan,nan,nan
8.4167,01JAN2000 08:25:00,3010.12,3010.12,88.104,28.042,nan,nan,nan,nan
8.5,01JAN2000 08:30:00,3080.717,3080.717,88.16,28.099,nan,nan,nan,nan
8.5833,01JAN2000 08:35:00,3147.473,3147.474,88.213,28.154,nan,nan,nan,nan
8.6667,01JAN2000 08:40:00,3212.881,3212.881,88.264,28.206,nan,nan,nan,nan
8.75,01JAN2000 08:45:00,3276.646,3276.646,88.314,28.256,nan,nan,nan,nan
8.8333,01JAN2000 08:50:00,3339.232,3339.231,88.362,28.306,nan,nan,nan,nan
8.9167,01JAN2000 08:55:00,3399.361,3399.361,88.408,28.346,nan,nan,nan,nan
9.0,01JAN2000 09:00:00,3458.138,3458.138,88.453,28.141,nan,nan,nan,nan
9.0833,01JAN2000 09:05:00,3516.002,3516.002,88.497,28.316,nan,nan,nan,nan
9.1667,01JAN2000 09:10:00,3572.058,3572.058,88.539,28.438,nan,nan,nan,nan
9.25,01JAN2000 09:15:00,3626.604,3626.604,88.58,28.457,nan,nan,nan,nan
9.3333,01JAN2000 09:20:00,3680.575,3680.575,88.62,28.538,nan,nan,nan,nan
9.4167,01JAN2000 09:25:00,3732.772,3732.773,88.659,28.603,nan,nan,nan,nan
9.5,01JAN2000 09:30:00,3784.45,3784.45,88.698,28.65,nan,nan,nan,nan
9.5833,01JAN2000 09:35:00,3836.054,3836.054,88.736,28.8,nan,nan,nan,nan
9.6667,01JAN2000 09:40:00,3886.803,3886.802,88.773,28.774,nan,nan,nan,nan
9.75,01JAN2000 09:45:00,3935.369,3935.369,88.808,28.925,nan,nan,nan,nan
9.8333,01JAN2000 09:50:00,3983.068,3983.068,88.843,28.89,nan,nan,nan,nan
9.9167,01JAN2000 09:55:00,4030.573,4030.573,88.877,28.983,nan,nan,nan,nan
10.0,01JAN2000 10:00:00,4079.379,4079.379,88.912,29.123,nan,nan,nan,nan
10.0833,01JAN2000 10:05:00,4125.625,4125.625,88.946,29.187,nan,nan,nan,nan
10.1667,01JAN2000 10:10:00,4172.089,4172.088,88.979,29.226,nan,nan,nan,nan
10.25,01JAN2000 10:15:00,4217.841,4217.841,89.012,29.257,nan,nan,nan,nan
10.3333,01JAN2000 10:20:00,4263.881,4263.881,89.044,29.291,nan,nan,nan,nan
10.4167,01JAN2000 10:25:00,4308.119,4308.119,89.076,29.334,nan,nan,nan,nan
10.5,01JAN2000 10:30:00,4355.356,4355.356,89.109,29.437,nan,nan,nan,nan
10.5833,01JAN2000 10:35:00,4401.431,4401.432,89.141,29.591,nan,nan,nan,nan
10.6667,01JAN2000 10:40:00,4447.093,4447.093,89.173,29.652,nan,nan,nan,nan
10.75,01JAN2000 10:45:00,4493.482,4493.482,89.206,29.637,nan,nan,nan,nan
10.8333,01JAN2000 10:50:00,4540.616,4540.616,89.239,29.63,nan,nan,nan,nan
10.9167,01JAN2000 10:55:00,4588.816,4588.816,89.272,29.768,nan,nan,nan,nan
11.0,01JAN2000 11:00:00,4639.989,4639.99,89.308,29.949,nan,nan,nan,nan
11.0833,01JAN2000 11:05:00,4691.586,4691.586,89.343,29.971,nan,nan,nan,nan
11.1667,01JAN2000 11:10:00,4744.79,4744.791,89.38,29.906,nan,nan,nan,nan
11.25,01JAN2000 11:15:00,4799.189,4799.19,89.417,30.05,nan,nan,nan,nan
11.3333,01JAN2000 11:20:00,4856.74,4856.74,89.456,30.252,nan,nan,nan,nan
11.4167,01JAN2000 11:25:00,4919.291,4919.291,89.498,30.273,nan,nan,nan,nan
11.5,01JAN2000 11:30:00,4985.219,4985.219,89.543,30.272,nan,nan,nan,nan
11.5833,01JAN2000 11:35:00,5056.404,5056.405,89.591,30.55,nan,nan,nan,nan
11.6667,01JAN2000 11:40:00,5131.232,5131.233,89.641,30.437,nan,nan,nan,nan
11.75,01JAN2000 11:45:00,5219.161,5219.161,89.699,30.758,nan,nan,nan,nan
11.8333,01JAN2000 11:50:00,5313.911,5313.911,89.762,30.636,nan,nan,nan,nan
11.9167,01JAN2000 11:55:00,5452.823,5452.822,89.853,30.982,nan,nan,nan,nan
12.0,01JAN2000 12:00:00,5607.436,5607.436,89.953,30.959,nan,nan,nan,nan
12.0833,01JAN2000 12:05:00,5744.581,5744.582,90.042,31.552,nan,nan,nan,nan
12.1667,01JAN2000 12:10:00,5897.39,5897.39,90.14,31.472,nan,nan,nan,nan
12.25,01JAN2000 12:15:00,6021.822,6021.822,90.219,31.888,nan,nan,nan,nan
12.3333,01JAN2000 12:20:00,6131.019,6131.018,90.288,32.236,nan,nan,nan,nan
12.4167,01JAN2000 12:25:00,6244.951,6244.951,90.36,32.415,nan,nan,nan,nan
12.5,01JAN2000 12:30:00,6372.158,6372.158,90.439,32.679,nan,nan,nan,nan
12.5833,01JAN2000 12:35:00,6526.047,6526.047,90.535,33.064,nan,nan,nan,nan
12.6667,01JAN2000 12:40:00,6674.022,6674.022,90.626,33.357,nan,nan,nan,nan
12.75,01JAN2000 12:45:00,6825.838,6825.838,90.718,33.643,nan,nan,nan,nan
12.8333,01JAN2000 12:50:00,6981.83,6981.83,90.813,34.245,nan,nan,nan,nan
12.9167,01JAN2000 12:55:00,7141.761,7141.76,90.909,35.022,nan,nan,nan,nan
13.0,01JAN2000 13:00:00,7305.57,7305.57,91.006,35.234,nan,nan,nan,nan
13.0833,01JAN2000 13:05:00,7477.872,7477.872,91.108,35.448,nan,nan,nan,nan
13.1667,01JAN2000 13:10:00,7666.103,7666.102,91.218,35.706,nan,nan,nan,nan
13.25,01JAN2000 13:15:00,7875.206,7875.205,91.34,36.008,nan,nan,nan,nan
13.3333,01JAN2000 13:20:00,8110.984,8110.985,91.476,36.349,nan,nan,nan,nan
13.4167,01JAN2000 13:25:00,8378.401,8378.399,91.629,36.973,nan,nan,nan,nan
13.5,01JAN2000 13:30:00,8677.788,8677.788,91.797,37.379,nan,nan,nan,nan
