time_h,date,total_flow,weir_flow,stage_hw,stage_tw,breach_width,breach_bottom,breach_flow,breach_velocity
-0.0,01JAN2000 00:00:00,0.246,0.246,84.507,23.925,0.0,0.0,0.0,0.0
0.0833,01JAN2000 00:05:00,0.245,0.245,84.507,23.299,nan,nan,nan,nan
0.1667,01JAN2000 00:10:00,0.244,0.244,84.507,23.299,nan,nan,nan,nan
0.25,01JAN2000 00:15:00,0.245,0.245,84.507,23.299,nan,nan,nan,nan
0.3333,01JAN2000 00:20:00,0.243,0.243,84.507,23.299,nan,nan,nan,nan
0.4167,01JAN2000 00:25:00,0.241,0.241,84.507,23.298,nan,nan,nan,nan
0.5,01JAN2000 00:30:00,0.239,0.239,84.507,23.298,nan,nan,nan,nan
0.5833,01JAN2000 00:35:00,0.238,0.238,84.507,23.298,nan,nan,nan,nan
0.6667,01JAN2000 00:40:00,0.239,0.239,84.507,23.298,nan,nan,nan,nan
0.75,01JAN2000 00:45:00,0.238,0.238,84.507,23.298,nan,nan,nan,nan
0.8333,01JAN2000 00:50:00,0.237,0.237,84.507,23.298,nan,nan,nan,nan
0.9167,01JAN2000 00:55:00,0.235,0.235,84.507,23.297,nan,nan,nan,nan
1.0,01JAN2000 01:00:00,0.233,0.233,84.507,23.297,nan,nan,nan,nan
1.0833,01JAN2000 01:05:00,0.233,0.233,84.507,23.297,nan,nan,nan,nan
1.1667,01JAN2000 01:10:00,0.233,0.233,84.507,23.297,nan,nan,nan,nan
1.25,01JAN2000 01:15:00,0.232,0.232,84.507,23.297,nan,nan,nan,nan
1.3333,01JAN2000 01:20:00,0.23,0.23,84.507,23.296,nan,nan,nan,nan
1.4167,01JAN2000 01:25:00,0.229,0.229,84.506,23.296,nan,nan,nan,nan
1.5,01JAN2000 01:30:00,0.227,0.227,84.506,23.296,nan,nan,nan,nan
1.5833,01JAN2000 01:35:00,0.228,0.228,84.506,23.296,nan,nan,nan,nan
1.6667,01JAN2000 01:40:00,0.228,0.228,84.506,23.296,nan,nan,nan,nan
1.75,01JAN2000 01:45:00,0.226,0.226,84.506,23.295,nan,nan,nan,nan
1.8333,01JAN2000 01:50:00,0.224,0.224,84.506,23.295,nan,nan,nan,nan
1.9167,01JAN2000 01:55:00,0.223,0.223,84.506,23.295,nan,nan,nan,nan
2.0,01JAN2000 02:00:00,0.223,0.223,84.506,23.295,nan,nan,nan,nan
2.0833,01JAN2000 02:05:00,40495.734,40495.734,77.057,64.9,70.834,23.0,40495.73,10.576
2.1667,01JAN2000 02:10:00,42384.371,42384.375,72.568,63.263,85.0,23.0,42384.375,10.073
2.25,01JAN2000 02:15:00,38096.332,38096.336,69.176,60.582,85.0,23.0,38096.336,9.72
2.3333,01JAN2000 02:20:00,34257.656,34257.656,66.049,58.099,85.0,23.0,34257.656,9.38
2.4167,01JAN2000 02:25:00,30536.629,30536.625,62.863,55.547,85.0,23.0,30536.625,9.027
2.5,01JAN2000 02:30:00,26848.912,26848.914,59.597,53.027,85.0,23.0,26848.914,8.644
2.5833,01JAN2000 02:35:00,23366.84,23366.842,56.371,50.512,85.0,23.0,23366.842,8.25
2.6667,01JAN2000 02:40:00,20115.363,20115.365,53.214,48.02,85.0,23.0,20115.365,7.843
2.75,01JAN2000 02:45:00,17123.031,17123.029,50.146,45.619,85.0,23.0,17123.029,7.43
2.8333,01JAN2000 02:50:00,14407.221,14407.22,47.206,43.295,85.0,23.0,14407.222,7.01
2.9167,01JAN2000 02:55:00,11985.968,11985.97,44.432,41.081,85.0,23.0,11985.97,6.587
3.0,01JAN2000 03:00:00,9849.837,9849.837,41.834,38.988,85.0,23.0,9849.838,6.16
3.0833,01JAN2000 03:05:00,7986.179,7986.179,39.402,37.022,85.0,23.0,7986.179,5.734
3.1667,01JAN2000 03:10:00,6365.417,6365.417,37.135,35.188,85.0,23.0,6365.417,5.303
3.25,01JAN2000 03:15:00,4954.722,4954.723,34.995,33.448,85.0,23.0,4954.722,4.865
3.3333,01JAN2000 03:20:00,3743.597,3743.597,32.991,31.805,85.0,23.0,3743.597,4.413
3.4167,01JAN2000 03:25:00,2719.859,2719.859,31.146,30.229,85.0,23.0,2719.859,3.934
3.5,01JAN2000 03:30:00,1876.144,1876.144,29.461,28.921,85.0,23.0,1876.144,3.43
3.5833,01JAN2000 03:35:00,1218.565,1218.565,27.972,27.636,85.0,23.0,1218.565,2.902
3.6667,01JAN2000 03:40:00,758.107,758.107,26.749,26.53,85.0,23.0,758.107,2.386
3.75,01JAN2000 03:45:00,482.346,482.346,25.833,25.622,85.0,23.0,482.346,1.996
3.8333,01JAN2000 03:50:00,318.269,318.269,25.23,25.074,85.0,23.0,318.269,1.669
3.9167,01JAN2000 03:55:00,228.018,228.018,24.851,24.728,85.0,23.0,228.018,1.434
4.0,01JAN2000 04:00:00,173.278,173.278,24.604,24.514,85.0,23.0,173.278,1.253
4.0833,01JAN2000 04:05:00,136.297,136.297,24.428,24.353,85.0,23.0,136.297,1.109
4.1667,01JAN2000 04:10:00,114.136,114.136,24.28,24.212,85.0,23.0,114.136,1.033
4.25,01JAN2000 04:15:00,96.405,96.405,24.157,24.096,85.0,23.0,96.405,0.963
4.3333,01JAN2000 04:20:00,78.799,78.799,24.05,23.997,85.0,23.0,78.799,0.866
4.4167,01JAN2000 04:25:00,67.476,67.476,23.961,23.913,85.0,23.0,67.476,0.81
4.5,01JAN2000 04:30:00,58.519,58.519,23.882,23.839,85.0,23.0,58.519,0.763
4.5833,01JAN2000 04:35:00,50.818,50.818,23.81,23.772,85.0,23.0,50.818,0.718
4.6667,01JAN2000 04:40:00,44.409,44.409,23.747,23.712,85.0,23.0,44.409,0.679
4.75,01JAN2000 04:45:00,38.873,38.873,23.69,23.659,85.0,23.0,38.873,0.642
4.8333,01JAN2000 04:50:00,34.254,34.254,23.639,23.612,85.0,23.0,34.254,0.607
4.9167,01JAN2000 04:55:00,30.663,30.663,23.592,23.57,85.0,23.0,30.663,0.58
5.0,01JAN2000 05:00:00,26.633,26.633,23.55,23.531,85.0,23.0,26.633,0.537
5.0833,01JAN2000 05:05:00,23.744,23.744,23.512,23.495,85.0,23.0,23.744,0.508
5.1667,01JAN2000 05:10:00,21.209,21.209,23.478,23.462,85.0,23.0,21.209,0.479
5.25,01JAN2000 05:15:00,19.174,19.174,23.446,23.433,85.0,23.0,19.174,0.455
5.3333,01JAN2000 05:20:00,17.116,17.116,23.418,23.406,85.0,23.0,17.116,0.426
5.4167,01JAN2000 05:25:00,15.372,15.372,23.393,23.381,85.0,23.0,15.372,0.399
5.5,01JAN2000 05:30:00,14.205,14.205,23.37,23.362,85.0,23.0,14.205,0.383
5.5833,01JAN2000 05:35:00,13.021,13.021,23.35,23.343,85.0,23.0,13.021,0.364
5.6667,01JAN2000 05:40:00,12.143,12.143,23.333,23.325,85.0,23.0,12.143,0.351
5.75,01JAN2000 05:45:00,11.287,11.287,23.318,23.309,85.0,23.0,11.287,0.336
5.8333,01JAN2000 05:50:00,10.05,10.05,23.303,23.298,85.0,23.0,10.05,0.307
5.9167,01JAN2000 05:55:00,9.409,9.409,23.29,23.291,85.0,23.0,9.409,0.294
6.0,01JAN2000 06:00:00,8.802,8.802,23.279,23.28,85.0,23.0,8.802,0.281
6.0833,01JAN2000 06:05:00,8.148,8.148,23.267,23.272,85.0,23.0,8.148,0.266
6.1667,01JAN2000 06:10:00,7.65,7.65,23.259,23.261,85.0,23.0,7.65,0.254
6.25,01JAN2000 06:15:00,7.195,7.195,23.25,23.253,85.0,23.0,7.195,0.243
6.3333,01JAN2000 06:20:00,6.689,6.689,23.241,23.247,85.0,23.0,6.689,0.23
6.4167,01JAN2000 06:25:00,6.312,6.312,23.233,23.24,85.0,23.0,6.312,0.22
6.5,01JAN2000 06:30:00,5.965,5.965,23.225,23.234,85.0,23.0,5.965,0.211
6.5833,01JAN2000 06:35:00,5.641,5.641,23.217,23.227,85.0,23.0,5.641,0.203
6.6667,01JAN2000 06:40:00,5.35,5.35,23.21,23.22,85.0,23.0,5.35,0.195
6.75,01JAN2000 06:45:00,5.084,5.084,23.203,23.214,85.0,23.0,5.084,0.188
6.8333,01JAN2000 06:50:00,4.837,4.837,23.197,23.207,85.0,23.0,4.837,0.181
6.9167,01JAN2000 06:55:00,4.606,4.606,23.191,23.201,85.0,23.0,4.606,0.174
7.0,01JAN2000 07:00:00,4.391,4.391,23.185,23.196,85.0,23.0,4.391,0.168
7.0833,01JAN2000 07:05:00,4.192,4.192,23.18,23.19,85.0,23.0,4.192,0.162
7.1667,01JAN2000 07:10:00,4.004,4.004,23.174,23.184,85.0,23.0,4.004,0.157
7.25,01JAN2000 07:15:00,3.816,3.816,23.169,23.179,85.0,23.0,3.816,0.151
7.3333,01JAN2000 07:20:00,3.68,3.68,23.164,23.173,85.0,23.0,3.68,0.147
7.4167,01JAN2000 07:25:00,3.534,3.534,23.16,23.167,85.0,23.0,3.534,0.143
7.5,01JAN2000 07:30:00,3.383,3.383,23.155,23.162,85.0,23.0,3.383,0.138
7.5833,01JAN2000 07:35:00,3.247,3.247,23.151,23.158,85.0,23.0,3.247,0.134
7.6667,01JAN2000 07:40:00,3.101,3.101,23.147,23.154,85.0,23.0,3.101,0.129
7.75,01JAN2000 07:45:00,2.97,2.97,23.143,23.151,85.0,23.0,2.97,0.124
7.8333,01JAN2000 07:50:00,2.843,2.843,23.139,23.148,85.0,23.0,2.843,0.12
7.9167,01JAN2000 07:55:00,2.751,2.751,23.136,23.144,85.0,23.0,2.751,0.117
8.0,01JAN2000 08:00:00,2.649,2.649,23.133,23.141,85.0,23.0,2.649,0.114
8.0833,01JAN2000 08:05:00,2.556,2.556,23.13,23.137,85.0,23.0,2.556,0.11
8.1667,01JAN2000 08:10:00,2.489,2.489,23.127,23.134,85.0,23.0,2.489,0.108
8.25,01JAN2000 08:15:00,2.405,2.405,23.124,23.131,85.0,23.0,2.405,0.105
8.3333,01JAN2000 08:20:00,2.281,2.281,23.123,23.107,85.0,23.0,2.281,0.1
8.4167,01JAN2000 08:25:00,2.093,2.093,23.122,23.11,85.0,23.0,2.093,0.092
8.5,01JAN2000 08:30:00,2.275,2.275,23.115,23.12,85.0,23.0,2.275,0.101
8.5833,01JAN2000 08:35:00,2.026,2.026,23.117,23.094,85.0,23.0,2.026,0.09
8.6667,01JAN2000 08:40:00,2.106,2.106,23.109,23.139,85.0,23.0,2.106,0.095
8.75,01JAN2000 08:45:00,2.044,2.044,23.108,23.138,85.0,23.0,2.044,0.092
8.8333,01JAN2000 08:50:00,1.784,1.784,23.113,23.096,85.0,23.0,1.784,0.081
8.9167,01JAN2000 08:55:00,1.888,1.888,23.106,23.138,85.0,23.0,1.888,0.086
9.0,01JAN2000 09:00:00,1.833,1.833,23.104,23.136,85.0,23.0,1.833,0.084
9.0833,01JAN2000 09:05:00,1.91,1.91,23.1,23.116,85.0,23.0,1.91,0.088
9.1667,01JAN2000 09:10:00,2.124,2.124,23.084,23.0,85.0,23.0,2.124,0.099
9.25,01JAN2000 09:15:00,1.551,1.551,23.102,23.077,85.0,23.0,1.551,0.072
9.3333,01JAN2000 09:20:00,1.764,1.764,23.096,23.109,85.0,23.0,1.764,0.082
9.4167,01JAN2000 09:25:00,1.739,1.739,23.1,23.101,85.0,23.0,1.739,0.081
9.5,01JAN2000 09:30:00,1.473,1.473,23.095,23.0,85.0,23.0,1.473,0.07
9.5833,01JAN2000 09:35:00,1.53,1.53,23.085,23.073,85.0,23.0,1.53,0.073
9.6667,01JAN2000 09:40:00,1.826,1.826,23.081,23.133,85.0,23.0,1.826,0.086
9.75,01JAN2000 09:45:00,1.476,1.476,23.098,23.08,85.0,23.0,1.476,0.069
9.8333,01JAN2000 09:50:00,1.918,1.918,23.114,23.117,85.0,23.0,1.918,0.088
9.9167,01JAN2000 09:55:00,-0.599,-0.599,23.139,23.0,85.0,23.0,-0.599,-0.004
10.0,01JAN2000 10:00:00,1.335,1.335,23.093,23.069,85.0,23.0,1.335,0.063
10.0833,01JAN2000 10:05:00,1.295,1.295,23.086,23.069,85.0,23.0,1.295,0.062
10.1667,01JAN2000 10:10:00,1.369,1.369,23.083,23.075,85.0,23.0,1.369,0.066
10.25,01JAN2000 10:15:00,1.692,1.692,23.063,23.0,85.0,23.0,1.692,0.085
10.3333,01JAN2000 10:20:00,1.354,1.354,23.077,23.103,85.0,23.0,1.354,0.065
10.4167,01JAN2000 10:25:00,1.298,1.298,23.071,23.0,85.0,23.0,1.298,0.064
10.5,01JAN2000 10:30:00,1.141,1.141,23.084,23.0,85.0,23.0,1.141,0.055
10.5833,01JAN2000 10:35:00,1.159,1.159,23.074,23.0,85.0,23.0,1.159,0.057
10.6667,01JAN2000 10:40:00,1.221,1.221,23.077,23.105,85.0,23.0,1.221,0.059
10.75,01JAN2000 10:45:00,1.553,1.553,23.071,23.0,85.0,23.0,1.553,0.076
10.8333,01JAN2000 10:50:00,1.147,1.147,23.076,23.105,85.0,23.0,1.147,0.056
10.9167,01JAN2000 10:55:00,1.105,1.105,23.074,23.104,85.0,23.0,1.105,0.054
11.0,01JAN2000 11:00:00,1.071,1.071,23.073,23.103,85.0,23.0,1.071,0.053
11.0833,01JAN2000 11:05:00,1.039,1.039,23.071,23.102,85.0,23.0,1.039,0.051
11.1667,01JAN2000 11:10:00,1.008,1.008,23.07,23.101,85.0,23.0,1.008,0.05
11.25,01JAN2000 11:15:00,0.98,0.98,23.069,23.1,85.0,23.0,0.98,0.049
11.3333,01JAN2000 11:20:00,0.964,0.964,23.068,23.092,85.0,23.0,0.964,0.048
11.4167,01JAN2000 11:25:00,0.94,0.94,23.066,23.09,85.0,23.0,0.94,0.047
11.5,01JAN2000 11:30:00,0.916,0.916,23.065,23.088,85.0,23.0,0.916,0.046
11.5833,01JAN2000 11:35:00,0.894,0.894,23.064,23.087,85.0,23.0,0.894,0.045
11.6667,01JAN2000 11:40:00,0.873,0.873,23.063,23.085,85.0,23.0,0.873,0.044
11.75,01JAN2000 11:45:00,0.852,0.852,23.062,23.084,85.0,23.0,0.852,0.043
11.8333,01JAN2000 11:50:00,0.645,0.645,23.069,23.0,85.0,23.0,0.645,0.035
11.9167,01JAN2000 11:55:00,0.881,0.881,23.053,23.0,85.0,23.0,0.881,0.045
12.0,01JAN2000 12:00:00,0.786,0.786,23.057,23.0,85.0,23.0,0.786,0.04
12.0833,01JAN2000 12:05:00,0.863,0.863,23.054,23.08,85.0,23.0,0.863,0.044
12.1667,01JAN2000 12:10:00,0.77,0.77,23.055,23.0,85.0,23.0,0.77,0.04
12.25,01JAN2000 12:15:00,0.631,0.631,23.068,23.0,85.0,23.0,0.631,0.033
12.3333,01JAN2000 12:20:00,0.703,0.703,23.058,23.0,85.0,23.0,0.703,0.036
12.4167,01JAN2000 12:25:00,0.775,0.775,23.065,23.053,85.0,23.0,0.775,0.04
12.5,01JAN2000 12:30:00,0.707,0.707,23.052,23.084,85.0,23.0,0.707,0.036
12.5833,01JAN2000 12:35:00,0.704,0.704,23.055,23.0,85.0,23.0,0.704,0.037
12.6667,01JAN2000 12:40:00,0.6,0.6,23.058,23.0,85.0,23.0,0.6,0.032
12.75,01JAN2000 12:45:00,0.71,0.71,23.045,23.07,85.0,23.0,0.71,0.037
