time_h,date,total_flow,weir_flow,stage_hw,stage_tw,breach_width,breach_bottom,breach_flow,breach_velocity
-0.0,01JAN2000 00:00:00,0.246,0.246,84.507,23.925,0.0,0.0,0.0,0.0
0.0833,01JAN2000 00:05:00,0.245,0.245,84.507,23.299,nan,nan,nan,nan
0.1667,01JAN2000 00:10:00,0.244,0.244,84.507,23.299,nan,nan,nan,nan
0.25,01JAN2000 00:15:00,0.245,0.245,84.507,23.299,nan,nan,nan,nan
0.3333,01JAN2000 00:20:00,0.243,0.243,84.507,23.299,nan,nan,nan,nan
0.4167,01JAN2000 00:25:00,0.241,0.241,84.507,23.298,nan,nan,nan,nan
0.5,01JAN2000 00:30:00,0.239,0.239,84.507,23.298,nan,nan,nan,nan
0.5833,01JAN2000 00:35:00,0.238,0.238,84.507,23.298,nan,nan,nan,nan
0.6667,01JAN2000 00:40:00,0.239,0.239,84.507,23.298,nan,nan,nan,nan
0.75,01JAN2000 00:45:00,0.238,0.238,84.507,23.298,nan,nan,nan,nan
0.8333,01JAN2000 00:50:00,0.237,0.237,84.507,23.298,nan,nan,nan,nan
0.9167,01JAN2000 00:55:00,0.235,0.235,84.507,23.297,nan,nan,nan,nan
1.0,01JAN2000 01:00:00,0.233,0.233,84.507,23.297,nan,nan,nan,nan
1.0833,01JAN2000 01:05:00,0.233,0.233,84.507,23.297,nan,nan,nan,nan
1.1667,01JAN2000 01:10:00,0.233,0.233,84.507,23.297,nan,nan,nan,nan
1.25,01JAN2000 01:15:00,0.232,0.232,84.507,23.297,nan,nan,nan,nan
1.3333,01JAN2000 01:20:00,0.23,0.23,84.507,23.296,nan,nan,nan,nan
1.4167,01JAN2000 01:25:00,0.229,0.229,84.506,23.296,nan,nan,nan,nan
1.5,01JAN2000 01:30:00,0.227,0.227,84.506,23.296,nan,nan,nan,nan
1.5833,01JAN2000 01:35:00,0.228,0.228,84.506,23.296,nan,nan,nan,nan
1.6667,01JAN2000 01:40:00,0.228,0.228,84.506,23.296,nan,nan,nan,nan
1.75,01JAN2000 01:45:00,0.226,0.226,84.506,23.295,nan,nan,nan,nan
1.8333,01JAN2000 01:50:00,0.224,0.224,84.506,23.295,nan,nan,nan,nan
1.9167,01JAN2000 01:55:00,0.223,0.223,84.506,23.295,nan,nan,nan,nan
2.0,01JAN2000 02:00:00,0.223,0.223,84.506,23.295,nan,nan,nan,nan
2.0833,01JAN2000 02:05:00,4341.105,4341.105,83.882,36.723,23.611,60.889,4341.105,7.978
2.1667,01JAN2000 02:10:00,22057.279,22057.279,80.014,55.584,47.223,37.277,22057.279,10.886
2.25,01JAN2000 02:15:00,41361.543,41361.539,73.338,65.731,70.834,23.0,41361.539,11.597
2.3333,01JAN2000 02:20:00,42856.426,42856.426,69.284,63.747,85.0,23.0,42856.426,10.918
2.4167,01JAN2000 02:25:00,37860.398,37860.402,65.571,60.427,85.0,23.0,37860.402,10.488
2.5,01JAN2000 02:30:00,33252.527,33252.527,62.101,57.486,85.0,23.0,33252.527,10.03
2.5833,01JAN2000 02:35:00,28837.426,28837.422,58.578,54.475,85.0,23.0,28837.426,9.556
2.6667,01JAN2000 02:40:00,24698.639,24698.639,55.159,51.505,85.0,23.0,24698.639,9.053
2.75,01JAN2000 02:45:00,20908.658,20908.656,51.865,48.658,85.0,23.0,20908.658,8.539
2.8333,01JAN2000 02:50:00,17473.705,17473.703,48.695,45.939,85.0,23.0,17473.703,8.016
2.9167,01JAN2000 02:55:00,14434.076,14434.076,45.686,43.33,85.0,23.0,14434.076,7.502
3.0,01JAN2000 03:00:00,11771.791,11771.792,42.862,40.885,85.0,23.0,11771.792,6.987
3.0833,01JAN2000 03:05:00,9458.871,9458.871,40.245,38.607,85.0,23.0,9458.871,6.467
3.1667,01JAN2000 03:10:00,7470.39,7470.39,37.817,36.47,85.0,23.0,7470.39,5.945
3.25,01JAN2000 03:15:00,5767.028,5767.028,35.564,34.486,85.0,23.0,5767.028,5.413
3.3333,01JAN2000 03:20:00,4317.103,4317.102,33.459,32.609,85.0,23.0,4317.102,4.869
3.4167,01JAN2000 03:25:00,3122.072,3122.072,31.54,30.916,85.0,23.0,3122.072,4.31
3.5,01JAN2000 03:30:00,2154.156,2154.156,29.793,29.348,85.0,23.0,2154.156,3.74
3.5833,01JAN2000 03:35:00,1415.938,1415.938,28.285,28.035,85.0,23.0,1415.938,3.17
3.6667,01JAN2000 03:40:00,890.041,890.041,27.051,26.905,85.0,23.0,890.041,2.601
3.75,01JAN2000 03:45:00,570.627,570.627,26.109,26.001,85.0,23.0,570.627,2.167
3.8333,01JAN2000 03:50:00,387.254,387.254,25.422,25.31,85.0,23.0,387.254,1.868
3.9167,01JAN2000 03:55:00,276.43,276.43,24.993,24.904,85.0,23.0,276.43,1.614
4.0,01JAN2000 04:00:00,204.051,204.051,24.714,24.642,85.0,23.0,204.051,1.385
4.0833,01JAN2000 04:05:00,162.271,162.271,24.524,24.472,85.0,23.0,162.271,1.238
4.1667,01JAN2000 04:10:00,137.838,137.838,24.367,24.323,85.0,23.0,137.838,1.168
4.25,01JAN2000 04:15:00,112.056,112.056,24.228,24.188,85.0,23.0,112.056,1.056
4.3333,01JAN2000 04:20:00,97.344,97.344,24.108,24.074,85.0,23.0,97.344,1.014
4.4167,01JAN2000 04:25:00,78.652,78.652,24.004,23.972,85.0,23.0,78.652,0.904
4.5,01JAN2000 04:30:00,67.549,67.549,23.916,23.89,85.0,23.0,67.549,0.848
4.5833,01JAN2000 04:35:00,58.25,58.25,23.837,23.814,85.0,23.0,58.25,0.798
4.6667,01JAN2000 04:40:00,50.538,50.538,23.767,23.747,85.0,23.0,50.538,0.753
4.75,01JAN2000 04:45:00,43.923,43.923,23.705,23.686,85.0,23.0,43.923,0.711
4.8333,01JAN2000 04:50:00,38.56,38.56,23.649,23.633,85.0,23.0,38.56,0.674
4.9167,01JAN2000 04:55:00,33.878,33.878,23.598,23.585,85.0,23.0,33.878,0.637
5.0,01JAN2000 05:00:00,29.567,29.567,23.553,23.54,85.0,23.0,29.567,0.594
5.0833,01JAN2000 05:05:00,26.232,26.232,23.512,23.499,85.0,23.0,26.232,0.562
5.1667,01JAN2000 05:10:00,23.336,23.336,23.474,23.464,85.0,23.0,23.336,0.53
5.25,01JAN2000 05:15:00,20.861,20.861,23.441,23.431,85.0,23.0,20.861,0.5
5.3333,01JAN2000 05:20:00,18.674,18.674,23.41,23.402,85.0,23.0,18.674,0.47
5.4167,01JAN2000 05:25:00,16.774,16.774,23.383,23.375,85.0,23.0,16.774,0.443
5.5,01JAN2000 05:30:00,15.147,15.147,23.359,23.352,85.0,23.0,15.147,0.417
5.5833,01JAN2000 05:35:00,13.75,13.75,23.338,23.333,85.0,23.0,13.75,0.393
5.6667,01JAN2000 05:40:00,12.603,12.603,23.318,23.316,85.0,23.0,12.603,0.373
5.75,01JAN2000 05:45:00,11.496,11.496,23.303,23.298,85.0,23.0,11.496,0.351
5.8333,01JAN2000 05:50:00,11.019,11.019,23.289,23.288,85.0,23.0,11.019,0.346
5.9167,01JAN2000 05:55:00,10.256,10.256,23.276,23.276,85.0,23.0,10.256,0.33
6.0,01JAN2000 06:00:00,8.99,8.99,23.264,23.266,85.0,23.0,8.99,0.296
6.0833,01JAN2000 06:05:00,8.392,8.392,23.253,23.256,85.0,23.0,8.392,0.282
6.1667,01JAN2000 06:10:00,7.968,7.968,23.244,23.246,85.0,23.0,7.968,0.273
6.25,01JAN2000 06:15:00,7.304,7.304,23.234,23.24,85.0,23.0,7.304,0.254
6.3333,01JAN2000 06:20:00,6.901,6.901,23.225,23.232,85.0,23.0,6.901,0.244
6.4167,01JAN2000 06:25:00,6.497,6.497,23.217,23.225,85.0,23.0,6.497,0.234
6.5,01JAN2000 06:30:00,6.123,6.123,23.209,23.218,85.0,23.0,6.123,0.224
6.5833,01JAN2000 06:35:00,5.775,5.775,23.202,23.212,85.0,23.0,5.775,0.214
6.6667,01JAN2000 06:40:00,5.454,5.454,23.195,23.206,85.0,23.0,5.454,0.205
6.75,01JAN2000 06:45:00,5.171,5.171,23.188,23.199,85.0,23.0,5.171,0.197
6.8333,01JAN2000 06:50:00,4.911,4.911,23.182,23.193,85.0,23.0,4.911,0.189
6.9167,01JAN2000 06:55:00,4.672,4.672,23.176,23.186,85.0,23.0,4.672,0.182
7.0,01JAN2000 07:00:00,4.448,4.448,23.17,23.18,85.0,23.0,4.448,0.176
7.0833,01JAN2000 07:05:00,4.239,4.239,23.165,23.175,85.0,23.0,4.239,0.169
7.1667,01JAN2000 07:10:00,4.077,4.077,23.16,23.168,85.0,23.0,4.077,0.165
7.25,01JAN2000 07:15:00,3.866,3.866,23.155,23.164,85.0,23.0,3.866,0.158
7.3333,01JAN2000 07:20:00,3.691,3.691,23.15,23.159,85.0,23.0,3.691,0.152
7.4167,01JAN2000 07:25:00,3.551,3.551,23.146,23.153,85.0,23.0,3.551,0.148
7.5,01JAN2000 07:30:00,3.422,3.422,23.142,23.147,85.0,23.0,3.422,0.144
7.5833,01JAN2000 07:35:00,3.193,3.193,23.137,23.146,85.0,23.0,3.193,0.136
7.6667,01JAN2000 07:40:00,3.198,3.198,23.133,23.138,85.0,23.0,3.198,0.137
7.75,01JAN2000 07:45:00,2.963,2.963,23.13,23.135,85.0,23.0,2.963,0.128
7.8333,01JAN2000 07:50:00,2.803,2.803,23.126,23.136,85.0,23.0,2.803,0.122
7.9167,01JAN2000 07:55:00,2.956,2.956,23.119,23.143,85.0,23.0,2.956,0.129
8.0,01JAN2000 08:00:00,2.705,2.705,23.115,23.15,85.0,23.0,2.705,0.119
8.0833,01JAN2000 08:05:00,2.312,2.312,23.124,23.11,85.0,23.0,2.312,0.102
8.1667,01JAN2000 08:10:00,2.659,2.659,23.114,23.137,85.0,23.0,2.659,0.118
8.25,01JAN2000 08:15:00,2.527,2.527,23.11,23.135,85.0,23.0,2.527,0.113
8.3333,01JAN2000 08:20:00,2.295,2.295,23.11,23.114,85.0,23.0,2.295,0.104
8.4167,01JAN2000 08:25:00,2.171,2.171,23.111,23.075,85.0,23.0,2.171,0.098
8.5,01JAN2000 08:30:00,2.119,2.119,23.101,23.061,85.0,23.0,2.119,0.096
8.5833,01JAN2000 08:35:00,2.271,2.271,23.089,23.115,85.0,23.0,2.271,0.104
8.6667,01JAN2000 08:40:00,2.494,2.494,23.131,23.1,85.0,23.0,2.494,0.112
8.75,01JAN2000 08:45:00,1.99,1.99,23.112,23.089,85.0,23.0,1.99,0.09
8.8333,01JAN2000 08:50:00,1.884,1.884,23.107,23.076,85.0,23.0,1.884,0.087
8.9167,01JAN2000 08:55:00,-0.655,-0.655,23.165,23.0,85.0,23.0,-0.655,0.003
9.0,01JAN2000 09:00:00,1.916,1.916,23.073,23.12,85.0,23.0,1.916,0.089
9.0833,01JAN2000 09:05:00,1.9,1.9,23.089,23.079,85.0,23.0,1.9,0.089
9.1667,01JAN2000 09:10:00,1.885,1.885,23.089,23.091,85.0,23.0,1.885,0.089
9.25,01JAN2000 09:15:00,1.529,1.529,23.077,23.0,85.0,23.0,1.529,0.072
9.3333,01JAN2000 09:20:00,1.8,1.8,23.09,23.076,85.0,23.0,1.8,0.085
9.4167,01JAN2000 09:25:00,1.843,1.843,23.084,23.108,85.0,23.0,1.843,0.088
9.5,01JAN2000 09:30:00,1.687,1.687,23.084,23.125,85.0,23.0,1.687,0.08
9.5833,01JAN2000 09:35:00,1.649,1.649,23.087,23.117,85.0,23.0,1.649,0.078
9.6667,01JAN2000 09:40:00,1.576,1.576,23.083,23.113,85.0,23.0,1.576,0.075
9.75,01JAN2000 09:45:00,1.504,1.504,23.083,23.116,85.0,23.0,1.504,0.072
9.8333,01JAN2000 09:50:00,1.453,1.453,23.081,23.113,85.0,23.0,1.453,0.07
9.9167,01JAN2000 09:55:00,1.406,1.406,23.079,23.11,85.0,23.0,1.406,0.068
10.0,01JAN2000 10:00:00,1.354,1.354,23.077,23.106,85.0,23.0,1.354,0.066
10.0833,01JAN2000 10:05:00,1.32,1.32,23.074,23.104,85.0,23.0,1.32,0.065
10.1667,01JAN2000 10:10:00,1.292,1.292,23.075,23.105,85.0,23.0,1.292,0.063
10.25,01JAN2000 10:15:00,1.251,1.251,23.073,23.104,85.0,23.0,1.251,0.062
10.3333,01JAN2000 10:20:00,1.214,1.214,23.072,23.103,85.0,23.0,1.214,0.06
10.4167,01JAN2000 10:25:00,1.18,1.18,23.071,23.102,85.0,23.0,1.18,0.059
10.5,01JAN2000 10:30:00,1.147,1.147,23.069,23.101,85.0,23.0,1.147,0.057
10.5833,01JAN2000 10:35:00,1.127,1.127,23.068,23.094,85.0,23.0,1.127,0.056
10.6667,01JAN2000 10:40:00,1.099,1.099,23.067,23.093,85.0,23.0,1.099,0.055
10.75,01JAN2000 10:45:00,1.072,1.072,23.066,23.091,85.0,23.0,1.072,0.054
10.8333,01JAN2000 10:50:00,1.045,1.045,23.065,23.089,85.0,23.0,1.045,0.053
10.9167,01JAN2000 10:55:00,1.022,1.022,23.064,23.087,85.0,23.0,1.022,0.052
11.0,01JAN2000 11:00:00,0.998,0.998,23.064,23.089,85.0,23.0,0.998,0.051
11.0833,01JAN2000 11:05:00,0.749,0.749,23.056,23.0,85.0,23.0,0.749,0.04
11.1667,01JAN2000 11:10:00,0.868,0.868,23.064,23.0,85.0,23.0,0.868,0.046
11.25,01JAN2000 11:15:00,1.088,1.088,23.058,23.0,85.0,23.0,1.088,0.061
11.3333,01JAN2000 11:20:00,0.784,0.784,23.057,23.0,85.0,23.0,0.784,0.041
11.4167,01JAN2000 11:25:00,1.212,1.212,23.058,23.0,85.0,23.0,1.212,0.069
11.5,01JAN2000 11:30:00,1.209,1.209,23.098,23.149,85.0,23.0,1.209,0.064
11.5833,01JAN2000 11:35:00,0.948,0.948,23.054,23.0,85.0,23.0,0.948,0.054
11.6667,01JAN2000 11:40:00,0.997,0.997,23.04,23.0,85.0,23.0,0.997,0.059
11.75,01JAN2000 11:45:00,1.019,1.019,23.059,23.0,85.0,23.0,1.019,0.059
11.8333,01JAN2000 11:50:00,0.903,0.903,23.054,23.0,85.0,23.0,0.903,0.049
11.9167,01JAN2000 11:55:00,0.849,0.849,23.051,23.0,85.0,23.0,0.849,0.046
12.0,01JAN2000 12:00:00,0.825,0.825,23.05,23.0,85.0,23.0,0.825,0.045
12.0833,01JAN2000 12:05:00,0.8,0.8,23.049,23.0,85.0,23.0,0.8,0.044
12.1667,01JAN2000 12:10:00,0.778,0.778,23.048,23.0,85.0,23.0,0.778,0.043
12.25,01JAN2000 12:15:00,0.452,0.452,23.055,23.0,85.0,23.0,0.452,0.029
12.3333,01JAN2000 12:20:00,0.713,0.713,23.047,23.0,85.0,23.0,0.713,0.042
12.4167,01JAN2000 12:25:00,0.441,0.441,23.055,23.0,85.0,23.0,0.441,0.028
12.5,01JAN2000 12:30:00,0.746,0.746,23.039,23.0,85.0,23.0,0.746,0.045
12.5833,01JAN2000 12:35:00,0.321,0.321,23.056,23.0,85.0,23.0,0.321,0.022
12.6667,01JAN2000 12:40:00,0.725,0.725,23.04,23.0,85.0,23.0,0.725,0.044
12.75,01JAN2000 12:45:00,0.703,0.703,23.039,23.0,85.0,23.0,0.703,0.043
