time_h,date,total_flow,weir_flow,stage_hw,stage_tw,breach_width,breach_bottom,breach_flow,breach_velocity
-0.0,01JAN2000 00:00:00,0.246,0.246,84.507,23.925,0.0,0.0,0.0,0.0
0.0833,01JAN2000 00:05:00,0.245,0.245,84.507,23.299,nan,nan,nan,nan
0.1667,01JAN2000 00:10:00,0.244,0.244,84.507,23.299,nan,nan,nan,nan
0.25,01JAN2000 00:15:00,0.245,0.245,84.507,23.299,nan,nan,nan,nan
0.3333,01JAN2000 00:20:00,0.243,0.243,84.507,23.299,nan,nan,nan,nan
0.4167,01JAN2000 00:25:00,0.241,0.241,84.507,23.298,nan,nan,nan,nan
0.5,01JAN2000 00:30:00,0.239,0.239,84.507,23.298,nan,nan,nan,nan
0.5833,01JAN2000 00:35:00,0.238,0.238,84.507,23.298,nan,nan,nan,nan
0.6667,01JAN2000 00:40:00,0.239,0.239,84.507,23.298,nan,nan,nan,nan
0.75,01JAN2000 00:45:00,0.238,0.238,84.507,23.298,nan,nan,nan,nan
0.8333,01JAN2000 00:50:00,0.237,0.237,84.507,23.298,nan,nan,nan,nan
0.9167,01JAN2000 00:55:00,0.235,0.235,84.507,23.297,nan,nan,nan,nan
1.0,01JAN2000 01:00:00,0.233,0.233,84.507,23.297,nan,nan,nan,nan
1.0833,01JAN2000 01:05:00,0.233,0.233,84.507,23.297,nan,nan,nan,nan
1.1667,01JAN2000 01:10:00,0.233,0.233,84.507,23.297,nan,nan,nan,nan
1.25,01JAN2000 01:15:00,0.232,0.232,84.507,23.297,nan,nan,nan,nan
1.3333,01JAN2000 01:20:00,0.23,0.23,84.507,23.296,nan,nan,nan,nan
1.4167,01JAN2000 01:25:00,0.229,0.229,84.506,23.296,nan,nan,nan,nan
1.5,01JAN2000 01:30:00,0.227,0.227,84.506,23.296,nan,nan,nan,nan
1.5833,01JAN2000 01:35:00,0.228,0.228,84.506,23.296,nan,nan,nan,nan
1.6667,01JAN2000 01:40:00,0.228,0.228,84.506,23.296,nan,nan,nan,nan
1.75,01JAN2000 01:45:00,0.226,0.226,84.506,23.295,nan,nan,nan,nan
1.8333,01JAN2000 01:50:00,0.224,0.224,84.506,23.295,nan,nan,nan,nan
1.9167,01JAN2000 01:55:00,0.223,0.223,84.506,23.295,nan,nan,nan,nan
2.0,01JAN2000 02:00:00,0.223,0.223,84.506,23.295,nan,nan,nan,nan
2.0833,01JAN2000 02:05:00,66954.953,66954.953,72.962,68.676,127.501,23.0,66954.953,10.591
2.1667,01JAN2000 02:10:00,60264.785,60264.793,65.976,63.135,153.0,23.0,60264.793,9.212
2.25,01JAN2000 02:15:00,48437.043,48437.043,60.449,58.058,153.0,23.0,48437.043,8.505
2.3333,01JAN2000 02:20:00,38720.422,38720.426,55.601,53.625,153.0,23.0,38720.426,7.805
2.4167,01JAN2000 02:25:00,30691.377,30691.377,51.216,49.588,153.0,23.0,30691.377,7.147
2.5,01JAN2000 02:30:00,23777.268,23777.268,47.127,45.79,153.0,23.0,23777.268,6.466
2.5833,01JAN2000 02:35:00,18142.094,18142.092,43.446,42.411,153.0,23.0,18142.092,5.823
2.6667,01JAN2000 02:40:00,13310.74,13310.739,40.425,39.804,153.0,23.0,13310.741,5.023
2.75,01JAN2000 02:45:00,9932.272,9932.272,37.481,36.994,153.0,23.0,9932.272,4.507
2.8333,01JAN2000 02:50:00,7149.915,7149.915,34.823,34.45,153.0,23.0,7149.915,3.973
2.9167,01JAN2000 02:55:00,5001.233,5001.233,32.468,32.185,153.0,23.0,5001.232,3.469
3.0,01JAN2000 03:00:00,3392.632,3392.632,30.482,30.272,153.0,23.0,3392.632,2.977
3.0833,01JAN2000 03:05:00,2307.069,2307.069,28.91,28.757,153.0,23.0,2307.069,2.563
3.1667,01JAN2000 03:10:00,1578.707,1578.706,27.695,27.586,153.0,23.0,1578.706,2.197
3.25,01JAN2000 03:15:00,1108.022,1108.022,26.801,26.72,153.0,23.0,1108.022,1.902
3.3333,01JAN2000 03:20:00,780.376,780.376,26.14,26.076,153.0,23.0,780.376,1.616
3.4167,01JAN2000 03:25:00,596.17,596.17,25.67,25.62,153.0,23.0,596.17,1.447
3.5,01JAN2000 03:30:00,466.594,466.594,25.301,25.272,153.0,23.0,466.594,1.287
3.5833,01JAN2000 03:35:00,257.941,257.941,25.104,24.829,153.0,23.0,257.941,0.794
3.6667,01JAN2000 03:40:00,290.3,290.3,24.704,24.663,153.0,23.0,290.3,1.059
3.75,01JAN2000 03:45:00,214.429,214.429,24.461,24.427,153.0,23.0,214.429,0.901
3.8333,01JAN2000 03:50:00,186.736,186.736,24.267,24.239,153.0,23.0,186.736,0.902
3.9167,01JAN2000 03:55:00,148.337,148.337,24.129,24.09,153.0,23.0,148.337,0.799
4.0,01JAN2000 04:00:00,134.698,134.698,23.983,23.958,153.0,23.0,134.698,0.811
4.0833,01JAN2000 04:05:00,111.457,111.457,23.87,23.835,153.0,23.0,111.457,0.731
4.1667,01JAN2000 04:10:00,94.428,94.428,23.772,23.75,153.0,23.0,94.428,0.69
4.25,01JAN2000 04:15:00,79.318,79.318,23.691,23.672,153.0,23.0,79.318,0.627
4.3333,01JAN2000 04:20:00,67.446,67.446,23.626,23.611,153.0,23.0,67.446,0.567
4.4167,01JAN2000 04:25:00,58.127,58.127,23.57,23.558,153.0,23.0,58.127,0.518
4.5,01JAN2000 04:30:00,50.442,50.442,23.521,23.511,153.0,23.0,50.442,0.472
4.5833,01JAN2000 04:35:00,43.69,43.69,23.476,23.468,153.0,23.0,43.69,0.429
4.6667,01JAN2000 04:40:00,44.263,44.263,23.436,23.429,153.0,23.0,44.263,0.453
4.75,01JAN2000 04:45:00,33.604,33.604,23.4,23.394,153.0,23.0,33.604,0.361
4.8333,01JAN2000 04:50:00,29.764,29.764,23.368,23.363,153.0,23.0,29.764,0.332
4.9167,01JAN2000 04:55:00,25.968,25.968,23.34,23.334,153.0,23.0,25.968,0.299
5.0,01JAN2000 05:00:00,16.506,16.506,23.314,23.312,153.0,23.0,16.506,0.195
5.0833,01JAN2000 05:05:00,22.496,22.496,23.294,23.294,153.0,23.0,22.496,0.271
5.1667,01JAN2000 05:10:00,18.267,18.267,23.274,23.275,153.0,23.0,18.267,0.226
5.25,01JAN2000 05:15:00,16.375,16.375,23.256,23.259,153.0,23.0,16.375,0.21
5.3333,01JAN2000 05:20:00,14.908,14.908,23.241,23.245,153.0,23.0,14.908,0.194
5.4167,01JAN2000 05:25:00,6.43,6.43,23.227,23.233,153.0,23.0,6.43,0.083
5.5,01JAN2000 05:30:00,12.267,12.267,23.215,23.223,153.0,23.0,12.267,0.163
5.5833,01JAN2000 05:35:00,11.414,11.414,23.204,23.214,153.0,23.0,11.414,0.147
5.6667,01JAN2000 05:40:00,17.272,17.272,23.194,23.206,153.0,23.0,17.272,0.229
5.75,01JAN2000 05:45:00,16.986,16.986,23.185,23.195,153.0,23.0,16.986,0.229
5.8333,01JAN2000 05:50:00,3.458,3.458,23.177,23.187,153.0,23.0,3.458,0.047
5.9167,01JAN2000 05:55:00,7.805,7.805,23.169,23.179,153.0,23.0,7.805,0.104
6.0,01JAN2000 06:00:00,8.874,8.874,23.161,23.173,153.0,23.0,8.874,0.124
6.0833,01JAN2000 06:05:00,15.156,15.156,23.157,23.163,153.0,23.0,15.156,0.206
6.1667,01JAN2000 06:10:00,26.828,26.828,23.154,23.141,153.0,23.0,26.828,0.359
6.25,01JAN2000 06:15:00,-10.77,-10.77,23.15,23.133,153.0,23.0,-10.77,-0.151
6.3333,01JAN2000 06:20:00,10.899,10.899,23.14,23.127,153.0,23.0,10.899,0.16
6.4167,01JAN2000 06:25:00,4.107,4.107,23.138,23.131,153.0,23.0,4.107,0.019
6.5,01JAN2000 06:30:00,10.383,10.383,23.123,23.161,153.0,23.0,10.383,0.152
6.5833,01JAN2000 06:35:00,4.597,4.597,23.121,23.12,153.0,23.0,4.597,0.072
6.6667,01JAN2000 06:40:00,11.83,11.83,23.114,23.0,153.0,23.0,11.83,0.176
6.75,01JAN2000 06:45:00,23.207,23.207,23.109,23.0,153.0,23.0,23.207,0.335
6.8333,01JAN2000 06:50:00,-2.413,-2.413,23.105,23.0,153.0,23.0,-2.413,-0.029
6.9167,01JAN2000 06:55:00,-7.797,-7.797,23.107,23.0,153.0,23.0,-7.797,-0.116
7.0,01JAN2000 07:00:00,2.077,2.077,23.104,23.0,153.0,23.0,2.077,0.033
7.0833,01JAN2000 07:05:00,4.556,4.556,23.093,23.0,153.0,23.0,4.556,0.069
7.1667,01JAN2000 07:10:00,3.126,3.126,23.096,23.0,153.0,23.0,3.126,0.051
7.25,01JAN2000 07:15:00,1.668,1.668,23.088,23.0,153.0,23.0,1.668,0.029
7.3333,01JAN2000 07:20:00,5.367,5.367,23.095,23.0,153.0,23.0,5.367,0.084
7.4167,01JAN2000 07:25:00,7.908,7.908,23.086,23.0,153.0,23.0,7.908,0.133
7.5,01JAN2000 07:30:00,-0.585,-0.585,23.074,23.0,153.0,23.0,-0.585,-0.004
7.5833,01JAN2000 07:35:00,-7.597,-7.597,23.085,23.0,153.0,23.0,-7.597,-0.145
7.6667,01JAN2000 07:40:00,-0.899,-0.899,23.086,23.0,153.0,23.0,-0.899,-0.016
7.75,01JAN2000 07:45:00,3.311,3.311,23.073,23.0,153.0,23.0,3.311,0.055
7.8333,01JAN2000 07:50:00,3.934,3.934,23.07,23.0,153.0,23.0,3.934,0.068
7.9167,01JAN2000 07:55:00,9.667,9.667,23.065,23.0,153.0,23.0,9.667,0.148
8.0,01JAN2000 08:00:00,-8.363,-8.363,23.069,23.0,153.0,23.0,-8.363,-0.132
8.0833,01JAN2000 08:05:00,8.733,8.733,23.062,23.0,153.0,23.0,8.733,0.142
8.1667,01JAN2000 08:10:00,-5.191,-5.191,23.065,23.0,153.0,23.0,-5.191,-0.082
8.25,01JAN2000 08:15:00,8.3,8.3,23.075,23.0,153.0,23.0,8.3,0.129
8.3333,01JAN2000 08:20:00,-10.029,-10.029,23.057,23.0,153.0,23.0,-10.029,-0.165
8.4167,01JAN2000 08:25:00,7.076,7.076,23.064,23.0,153.0,23.0,7.076,0.128
8.5,01JAN2000 08:30:00,-8.463,-8.463,23.055,23.0,153.0,23.0,-8.463,-0.138
8.5833,01JAN2000 08:35:00,9.218,9.218,23.064,23.0,153.0,23.0,9.218,0.151
8.6667,01JAN2000 08:40:00,1.859,1.859,23.06,23.0,153.0,23.0,1.859,0.024
8.75,01JAN2000 08:45:00,7.8,7.8,23.054,23.0,153.0,23.0,7.8,0.116
8.8333,01JAN2000 08:50:00,3.902,3.902,23.058,23.0,153.0,23.0,3.902,0.061
8.9167,01JAN2000 08:55:00,-3.96,-3.96,23.057,23.0,153.0,23.0,-3.96,-0.044
9.0,01JAN2000 09:00:00,11.598,11.598,23.058,23.0,153.0,23.0,11.598,0.189
9.0833,01JAN2000 09:05:00,-2.541,-2.541,23.059,23.0,153.0,23.0,-2.541,-0.051
9.1667,01JAN2000 09:10:00,14.195,14.195,23.053,23.0,153.0,23.0,14.195,0.265
9.25,01JAN2000 09:15:00,-11.403,-11.403,23.05,23.0,153.0,23.0,-11.403,-0.2
9.3333,01JAN2000 09:20:00,4.501,4.501,23.052,23.0,153.0,23.0,4.501,0.089
9.4167,01JAN2000 09:25:00,-5.476,-5.476,23.054,23.0,153.0,23.0,-5.476,-0.074
9.5,01JAN2000 09:30:00,-2.502,-2.502,23.054,23.0,153.0,23.0,-2.502,-0.038
9.5833,01JAN2000 09:35:00,11.113,11.113,23.043,23.0,153.0,23.0,11.113,0.221
9.6667,01JAN2000 09:40:00,5.172,5.172,23.045,23.0,153.0,23.0,5.172,0.1
9.75,01JAN2000 09:45:00,7.437,7.437,23.047,23.0,153.0,23.0,7.437,0.15
9.8333,01JAN2000 09:50:00,6.493,6.493,23.051,23.0,153.0,23.0,6.493,0.104
9.9167,01JAN2000 09:55:00,-1.412,-1.412,23.046,23.0,153.0,23.0,-1.412,-0.034
10.0,01JAN2000 10:00:00,6.563,6.563,23.05,23.0,153.0,23.0,6.563,0.117
10.0833,01JAN2000 10:05:00,7.576,7.576,23.044,23.0,153.0,23.0,7.576,0.143
10.1667,01JAN2000 10:10:00,-9.162,-9.162,23.042,23.0,153.0,23.0,-9.162,-0.159
10.25,01JAN2000 10:15:00,-2.09,-2.09,23.043,23.0,153.0,23.0,-2.09,-0.04
10.3333,01JAN2000 10:20:00,-3.227,-3.227,23.042,23.0,153.0,23.0,-3.227,-0.042
10.4167,01JAN2000 10:25:00,-4.489,-4.489,23.043,23.0,153.0,23.0,-4.489,-0.08
10.5,01JAN2000 10:30:00,-13.301,-13.301,23.042,23.0,153.0,23.0,-13.301,-0.222
10.5833,01JAN2000 10:35:00,1.003,1.003,23.04,23.0,153.0,23.0,1.003,0.022
10.6667,01JAN2000 10:40:00,0.966,0.966,23.04,23.0,153.0,23.0,0.966,0.022
10.75,01JAN2000 10:45:00,9.091,9.091,23.038,23.0,153.0,23.0,9.091,0.171
10.8333,01JAN2000 10:50:00,3.382,3.382,23.039,23.0,153.0,23.0,3.382,0.069
10.9167,01JAN2000 10:55:00,-10.958,-10.958,23.039,23.0,153.0,23.0,-10.958,-0.215
11.0,01JAN2000 11:00:00,-0.472,-0.472,23.039,23.0,153.0,23.0,-0.472,-0.01
11.0833,01JAN2000 11:05:00,-9.794,-9.794,23.038,23.0,153.0,23.0,-9.794,-0.171
11.1667,01JAN2000 11:10:00,6.61,6.61,23.04,23.0,153.0,23.0,6.61,0.118
11.25,01JAN2000 11:15:00,1.661,1.661,23.038,23.0,153.0,23.0,1.661,0.049
11.3333,01JAN2000 11:20:00,11.091,11.091,23.04,23.0,153.0,23.0,11.091,0.174
11.4167,01JAN2000 11:25:00,-3.998,-3.998,23.036,23.0,153.0,23.0,-3.998,-0.064
11.5,01JAN2000 11:30:00,-3.346,-3.346,23.039,23.0,153.0,23.0,-3.346,-0.062
11.5833,01JAN2000 11:35:00,-2.414,-2.414,23.029,23.0,153.0,23.0,-2.414,-0.035
11.6667,01JAN2000 11:40:00,12.495,12.495,23.038,23.0,153.0,23.0,12.495,0.248
11.75,01JAN2000 11:45:00,10.039,10.039,23.038,23.0,153.0,23.0,10.039,0.179
11.8333,01JAN2000 11:50:00,4.968,4.968,23.037,23.0,153.0,23.0,4.968,0.109
11.9167,01JAN2000 11:55:00,9.154,9.154,23.031,23.0,153.0,23.0,9.154,0.174
12.0,01JAN2000 12:00:00,-12.394,-12.394,23.031,23.0,153.0,23.0,-12.394,-0.223
12.0833,01JAN2000 12:05:00,6.231,6.231,23.035,23.0,153.0,23.0,6.231,0.12
12.1667,01JAN2000 12:10:00,-1.95,-1.95,23.037,23.0,153.0,23.0,-1.95,-0.034
12.25,01JAN2000 12:15:00,-4.188,-4.188,23.035,23.0,153.0,23.0,-4.188,-0.072
12.3333,01JAN2000 12:20:00,-2.183,-2.183,23.028,23.0,153.0,23.0,-2.183,-0.01
12.4167,01JAN2000 12:25:00,-5.654,-5.654,23.026,23.0,153.0,23.0,-5.654,-0.102
12.5,01JAN2000 12:30:00,-1.44,-1.44,23.031,23.0,153.0,23.0,-1.44,-0.038
